Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2000,Dodge,Dakota Pickup,2WD,2.5L I4,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,4,2.5,18,23,20,,,,,
2000,Dodge,Dakota Pickup,2WD,3.9L V6,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,6,3.9,15,20,16,,,,,
2000,Dodge,Dakota Pickup,2WD,3.9L V6,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,6,3.9,15,21,17,,,,,
2000,Dodge,Dakota Pickup,2WD,4.7L V8,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,4.7,13,18,15,,,,,
2000,Dodge,Dakota Pickup,2WD,4.7L V8,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,4.7,13,18,15,,,,,
2000,Dodge,Dakota Pickup,2WD,5.9L V8,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,5.9,11,16,13,,,,,
2000,Dodge,Dakota Pickup,4WD,3.9L V6,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,6,3.9,13,17,14,,,,,
2000,Dodge,Dakota Pickup,4WD,3.9L V6,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,6,3.9,14,17,15,,,,,
2000,Dodge,Dakota Pickup,4WD,4.7L V8,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,4.7,13,17,14,,,,,
2000,Dodge,Dakota Pickup,4WD,4.7L V8,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,4.7,13,17,14,,,,,
2000,Dodge,Dakota Pickup,4WD,5.9L V8,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.9,11,15,12,,,,,
