Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2009,GMC,Sierra,C15 2WD,5.3L V8,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,5.3,14,20,16,,,,,
2009,GMC,Sierra,C15 2WD,5.3L V8,Automatic 6-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,5.3,14,20,16,,,,,
2009,GMC,Sierra,C15 2WD,6.0L V8,Automatic 6-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,6.0,14,19,16,,,,,
2009,GMC,Sierra,15 Hybrid 2WD,Hybrid 6.0L V8,Automatic (variable gear ratios),Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,6.0,21,22,21,,,,,
2009,GMC,Sierra,K15 4WD,5.3L V8,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.3,14,19,16,,,,,
2009,GMC,Sierra,K15 4WD,5.3L V8,Automatic 6-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.3,14,20,16,,,,,
2009,GMC,Sierra,K15 4WD,6.0L V8,Automatic 6-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,6.0,13,18,15,,,,,
2009,GMC,Sierra,15 Hybrid 4WD,Hybrid 6.0L V8,Automatic (variable gear ratios),All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,6.0,20,20,20,,,,,
2009,GMC,Sierra,C15 2WD,FFV 5.3L V8,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 2WD,8,5.3,14,20,16,,,,,
2009,GMC,Sierra,C15 2WD,FFV 5.3L V8,Automatic 6-spd,Rear-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 2WD,8,5.3,14,20,16,,,,,
2009,GMC,Sierra,C15 2WD,FFV 6.2L V8,Automatic 6-spd,Rear-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 2WD,8,6.2,13,19,15,,,,,
2009,GMC,Sierra,K15 4WD,FFV 5.3L V8,Automatic 4-spd,All-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 4WD,8,5.3,14,19,16,,,,,
2009,GMC,Sierra,K15 4WD,FFV 5.3L V8,Automatic 6-spd,All-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 4WD,8,5.3,14,20,16,,,,,
2009,GMC,Sierra,K15 4WD,FFV 6.2L V8,Automatic 6-spd,All-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 4WD,8,6.2,12,19,14,,,,,
2009,GMC,Sierra,K15 AWD,FFV 6.2L V8,Automatic 6-spd,All-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 4WD,8,6.2,12,19,14,,,,,
2009,GMC,Sierra,C15 2WD,4.3L V6,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,6,4.3,15,20,17,,,,,
2009,GMC,Sierra,C15 2WD,4.8L V8,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,4.8,14,19,16,,,,,
2009,GMC,Sierra,K15 4WD,4.3L V6,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,6,4.3,14,18,15,,,,,
2009,GMC,Sierra,K15 4WD,4.8L V8,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,4.8,14,18,15,,,,,
2009,GMC,Sierra,C15 XFE 2WD,FFV 5.3L V8 (450),Automatic 6-spd,Rear-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 2WD,8,5.3,15,21,17,,,,,
