Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2013,Volkswagen,Beetle,Beetle,Diesel 2.0L I4 Diesel,Manual 6-spd,Front-Wheel Drive,Diesel,Compact Cars,4,2.0,27,39,30,,,,,
2013,Volkswagen,Beetle,Convertible,Diesel 2.0L I4 Diesel,Manual 6-spd,Front-Wheel Drive,Diesel,Subcompact Cars,4,2.0,27,39,30,,,,,
2013,Volkswagen,Beetle,Convertible,2.0L I4 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Subcompact Cars,4,2.0,21,30,24,,,,,
2013,Volkswagen,Beetle,Beetle,2.0L I4 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,21,30,24,,,,,
2013,Volkswagen,Beetle,Beetle,Diesel 2.0L I4 Diesel,Automatic (AM-S6),Front-Wheel Drive,Diesel,Compact Cars,4,2.0,28,40,32,,,,,
2013,Volkswagen,Beetle,Convertible,2.5L V5,Automatic (S6),Front-Wheel Drive,Regular Gasoline,Subcompact Cars,5,2.5,21,27,23,,,,,
2013,Volkswagen,Beetle,Convertible,2.0L I4 (SIDI),Automatic (AM-S6),Front-Wheel Drive,Premium Gasoline,Subcompact Cars,4,2.0,21,28,24,,,,,
2013,Volkswagen,Beetle,Beetle,2.5L V5,Automatic (S6),Front-Wheel Drive,Regular Gasoline,Compact Cars,5,2.5,22,29,25,,,,,
2013,Volkswagen,Beetle,Beetle,2.0L I4 (SIDI),Automatic (AM-S6),Front-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,22,30,25,,,,,
2013,Volkswagen,Beetle,Beetle,2.5L V5,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,5,2.5,22,31,25,,,,,
2013,Volkswagen,Beetle,Convertible,Diesel 2.0L I4 Diesel,Automatic (AM-S6),Front-Wheel Drive,Diesel,Subcompact Cars,4,2.0,27,37,31,,,,,
