Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2016,Chevrolet,Silverado,C15 Cab Chassis 2WD,5.3L V8 (SIDI),Automatic 6-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,8,5.3,15,20,17,,,,,
2016,Chevrolet,Silverado,C15 2WD,FFV 5.3L V8 (SIDI; FFV),Automatic 6-spd,Rear-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 2WD,8,5.3,16,23,19,,,,,
2016,Chevrolet,Silverado,C15 2WD,FFV 4.3L V6 (SIDI; FFV),Automatic 6-spd,Rear-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 2WD,6,4.3,18,23,20,,,,,
2016,Chevrolet,Silverado,C15 2WD,5.3L V8 (SIDI),Automatic 6-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,5.3,16,23,19,,,,,
2016,Chevrolet,Silverado,C15 2WD,5.3L V8 (SIDI),Automatic 8-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,5.3,16,22,18,,,,,
2016,Chevrolet,Silverado,C15 2WD,6.2L V8 (SIDI),Automatic 8-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,6.2,15,21,17,,,,,
2016,Chevrolet,Silverado,K15 4WD,FFV 5.3L V8 (SIDI; FFV),Automatic 6-spd,Four-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 4WD,8,5.3,16,22,18,,,,,
2016,Chevrolet,Silverado,K15 4WD,FFV 4.3L V6 (SIDI; FFV),Automatic 6-spd,Four-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 4WD,6,4.3,17,22,19,,,,,
2016,Chevrolet,Silverado,K15 4WD,5.3L V8 (SIDI),Automatic 8-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.3,15,21,17,,,,,
2016,Chevrolet,Silverado,K15 4WD,5.3L V8 (SIDI),Automatic 6-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.3,16,22,18,,,,,
2016,Chevrolet,Silverado,K15 Cab Chassis 4WD,5.3L V8 (SIDI),Automatic 6-spd,Four-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 4WD,8,5.3,15,19,17,,,,,
2016,Chevrolet,Silverado,K15 4WD,6.2L V8 (SIDI),Automatic 8-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,6.2,15,21,17,,,,,
2016,Chevrolet,Silverado,15 Hybrid 2WD,Hybrid 5.3L V8 (SIDI),Automatic 8-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,5.3,18,24,20,,,,,
2016,Chevrolet,Silverado,15 Hybrid 4WD,Hybrid 5.3L V8 (SIDI),Automatic 8-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.3,16,21,18,,,,,
