Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2018,BMW,M,4 Convertible,3.0L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,17,25,20,,,,,
2018,BMW,M,4 Convertible,3.0L V6 (SIDI),Automatic (AM-S7),Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,16,22,19,,,,,
2018,BMW,M,6 Convertible,4.4L V8 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,8,4.4,15,22,17,,,,,
2018,BMW,M,6 Convertible,4.4L V8 (SIDI),Automatic (AM-S7),Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,8,4.4,14,20,16,,,,,
2018,BMW,M,4 Coupe,3.0L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,6,3.0,17,25,20,,,,,
2018,BMW,M,4 Coupe,3.0L V6 (SIDI),Automatic (AM-S7),Rear-Wheel Drive,Premium Gasoline,Compact Cars,6,3.0,17,24,20,,,,,
2018,BMW,M,6 Gran Coupe,4.4L V8 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,8,4.4,15,22,17,,,,,
2018,BMW,M,6 Gran Coupe,4.4L V8 (SIDI),Automatic (AM-S7),Rear-Wheel Drive,Premium Gasoline,Compact Cars,8,4.4,14,20,16,,,,,
2018,BMW,M,550i xDrive,4.4L V8 (SIDI),Automatic (S8),All-Wheel Drive,Premium Gasoline,Midsize Cars,8,4.4,16,25,19,,,,,
2018,BMW,M,3,3.0L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,6,3.0,17,25,20,,,,,
2018,BMW,M,3,3.0L V6 (SIDI),Automatic (AM-S7),Rear-Wheel Drive,Premium Gasoline,Compact Cars,6,3.0,17,24,20,,,,,
2018,BMW,M,4 DTM Champions Edition,3.0L V6 (SIDI),Automatic (AM-S7),Rear-Wheel Drive,Premium Gasoline,Two Seaters,6,3.0,17,24,20,,,,,
2018,BMW,M,2,3.0L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,18,26,21,,,,,
2018,BMW,M,2,3.0L V6 (SIDI),Automatic (AM-S7),Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,20,26,22,,,,,
2018,BMW,M,5,4.4L V8 (SIDI),Automatic (S8),All-Wheel Drive,Premium Gasoline,Midsize Cars,8,4.4,15,21,17,,,,,
2018,BMW,M,3 CS,3.0L V6 (SIDI),Automatic (AM-S7),Rear-Wheel Drive,Premium Gasoline,Compact Cars,6,3.0,16,22,19,,,,,
