Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2021,MINI,Mack,/100 Base-T Ethernet,Turbo Boost frequency — 3.1 GHz 3.3 GHz,Processor Clock speed 1.25 GHz 1.42 GHz 1.25 GHz 1.42 GHz 1.33 GHz 1.5 GHz,,Optional or integrated Bluetooth 1.1 Optional or integrated Wi-Fi 3 (802.11b/g) with Bluetooth 2.0+EDR card,The Apple silicon Mac Mini based on the Apple M1 chip was introduced in November,The Apple silicon Mac Mini based on the Apple M1 chip was introduced in November 2020; however Intel-based models remained available with more RAM options until the release of an updated model based on the M2 and M2 Pro chips in January 2023.,,
,,,macOS release PowerPC-based Intel-based Apple-Silicon–based,core Neural Engine,,,Cache 2 MB on-chip L2 cache 2 MB (1.83 GHz) shared 4 MB (2.0 GHz) shared 3 MB on-chip L2 cache,"Networking is supported with 10/100 Ethernet and a 56k V.92 modem, while 802.11b","Networking is supported with 10/100 Ethernet and a 56k V.92 modem, while 802.11b/g Wi-Fi and Bluetooth were additional, build-to-order options.",,
,,,,,,,Configurable up to 16 GB 4 GB 1600MHz LPDDR3 (soldered),"Despite this, they found criticisms on the poor video output graphic processing","Despite this, they found criticisms on the poor video output graphic processing units, small hard drive, and the limited remote controllability and upgrade options.",,
,,,,,,,Configurable up to 16 GB 8 GB 1600 MHz LPDDR3 (soldered),Ars Technica encountered it to be somewhat underpowered to play high-resolution,Ars Technica encountered it to be somewhat underpowered to play high-resolution HD streams at standard frame rates.,,
,,,,,,,Bluetooth 2.1 + EDR,They disputed its lack of Blu-Ray options on home theater and the expensive pric,They disputed its lack of Blu-Ray options on home theater and the expensive price.,,
,,,,,,,Bluetooth 4.0,CNET wrote a positive review on the HDMI output and the near-decent graphics cap,"CNET wrote a positive review on the HDMI output and the near-decent graphics capability, citing criticisms on the limited user upgrade options and the high cost.",,
,,,,,,,Bluetooth 5.0,"In an Engadget review, it was admired for its compact design, versatile port sel","In an Engadget review, it was admired for its compact design, versatile port selection, CPU performance, and that it was the least expensive in the Macintosh lineup, while criticisms included the limited GPU performance, expensive upgrade options, and the non-user-upgradable RAM.",,
,,,,,,,"Back panel of the Mac Mini (M1, 2020). Pictured from left to right, first row: power button, power port plug, Gigabit Ethernet/10 Gigabit Ethernet, 2 Thunderbolt 3 (USB-C), HDMI 2.0, 2 USB 3.0. Second row: ventilation holes, and 3.5 mm headphone jack.","The macOS Server software package, however, could be purchased from the Mac App","The macOS Server software package, however, could be purchased from the Mac App Store. In 2018, coinciding with the release of macOS Mojave, Apple shipped macOS Server version 5.71, which stopped bundling open-source services including DHCP, DNS, email, firewall, FTP, RADIUS, VPN, Web, and Wiki.",,
,,,,,,,"On January 17, 2023, Apple announced updated models based on the M2 and M2 Pro chips. The updated models also include Bluetooth 5.3 and Wi-Fi 6E connectivity. The M2 Pro model includes two additional USB-C/Thunderbolt ports and supports HDMI 2.1.","Other Apple-proprietary services such as Airport, Calendar, Contacts, Messages,","Other Apple-proprietary services such as Airport, Calendar, Contacts, Messages, and NetBoot were also removed with no corresponding open-source options. Alternative operating systems for Mac users include Linux and virtualized Windows; they can also install third-party Unix packages via open-source package managers such as Conda, Fink, Homebrew, MacPorts, Nix, pkgsrc, and Rudix. A few services, such as caching, files, Time Machine, and Web, were moved to the macOS Mojave client but ca",,
,,,,,,,Bluetooth 5.3,This includes Mac OS X 10.6 or earlier and copies of Mac OS X 10.7 that have not,This includes Mac OS X 10.6 or earlier and copies of Mac OS X 10.7 that have not been updated to Boot Camp 4.,,
