Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
,,,"Mercedes-Benz used Sport Leicht and Super Leicht interchangeably until 2017 when a chance discovery in its corporate archive clarified the abbreviation stood for ""Super Leicht"".","Replacing both the 300 SL and 190 SL, the 230 SL was introduced in 1963 with a distinctive concave roofline that earned the nickname ""pagoda top"". The W113 featured a low waistline, large curved greenhouse windows, detachtable hardtop, and a new 2.3-litre straight-six engine.",speed automatic,,"For the US market, R129 was the first SL-Class offered with six-cylinder in-line engine from 300 SL-24 (named as 300SL) since the 1971. For 1995, a larger 3.2-litre engine was introduced in the SL 320, subsequently dropped from the US market in 1998.",The 1994 R129 introduced a minor cosmetic and technical updates; revised engine,The 1994 R129 introduced a minor cosmetic and technical updates; revised engine optionals; as well as a new nomenclature.,,
,,,"Wheelbase 2,400 mm (94.5 in)",L V8,A slight revision to the folding 'Vario-roof' hardtop meant it could deploy at up to 40 km/h (25 mph) without the luggage compartment partition having to be deployed in a separate manual operation.,,"SL 65 AMG Black Series: (2008–2011), 6.0 L V12","2004 pre-facelift SL 350 In 2006, R230 received a minor cosmetic update and rev","2004 pre-facelift SL 350 In 2006, R230 received a minor cosmetic update and revised engine options.",,
,,,"Wheelbase 96.7 in (2,456 mm)","SL: 1971–1980, 3.5 L V8",speed automatic AMG Speedshift,,The R231 was longer and wider than its predecessor. Shoulder room is increased by 37 mm (1.5 in) and elbow room 28 mm (1.1 in).,2008 facelift Mercedes SL front The R230 SL underwent a significant facelift in,"2008 facelift Mercedes SL front The R230 SL underwent a significant facelift in 2008 featuring new and revised engines and a new front end that evokes the classic 300 SL with a large grille featuring a prominent 3-pointed star and twin ""power domes"" on the bonnet, the car also features new headlights with an optional ""Intelligent Light System"" and a new speed sensitive steering system.",,
,,,"Wheelbase 99.0 in (2,515 mm)","SL (4.5): 1972, 4.5 L V8 (exclusive for the US market)",Workshop manuals,,"Larimer, Fred (2004). Mercedes-Benz Buyer's Guide: Roadsters, Coupes, and Convertibles. St. Paul, MN, USA: MBI Publishing. ISBN 0760318115.","The R231 introduced aluminum bodywork, its weight advantage offset by higher saf","The R231 introduced aluminum bodywork, its weight advantage offset by higher safety and convenience equipment.",,
,,,"Wheelbase 100.8 in (2,560 mm)","SL: 1981–1985, 3.8 L V8","Ball, Kenneth (1972). Mercedes-Benz 280, 1968-72 Autobook: Workshop Manual for Mercedes-Benz 280 S, 280 SE, 280 SEL, 280 SL, 1968-72. Brighton, UK: Autopress. ISBN 0851472931.",,"Meredith, Laurence (1997). Essential Mercedes SL: 190SL & Pagoda models – the cars and their story 1955-71. Bideford, Devon, UK: Bay View Books. ISBN 1870979893.","Additionally, standard equipment included an adaptive windscreen wipe/wash syste","Additionally, standard equipment included an adaptive windscreen wipe/wash system which supplied fluid from the wiper blade itself, as needed and depending on the direction of wipe.",,
,,,"Wheelbase 2,585 mm (101.8 in)","SL: 1986–1989, 4.2 L V8","Mellon, Thomas A, ed. (2001). Mercedes: Coupes/Sedans/Wagons, 1974-84 Repair Manual. Chilton Total Car Care Series. Radnor, PA, USA: Chilton; Sparkford, UK: Haynes Publishing. ISBN 0-8019-9076-9.",,"Meredith, Laurence (1996). Original Mercedes SL: The Restorer's Guide to 300SL, 190SL and 230/250/280SL models to 1971. Bideford, Devon, UK: Bay View Books. ISBN 1870979664.",The R231 was available with two suspension systems: semi-active adjustable dampi,The R231 was available with two suspension systems: semi-active adjustable damping as standard and active suspension system ABC (Active Body Control) as an extra-cost option.,,
,,,"Wheelbase 2,700 mm (106.3 in)","SL: 1973–1980, 4.5 L V8",,,BionicBlueZEROC111C112ConceptFASCINATIONEQESF 2009 Experimental Safety VehicleF-CellF-Cell RoadsterF100F125F200 ImaginationF700F800Ocean DriveSilver LightningVario Research CarVision CLSVision EQXXVision SLAESF 2019Vision Mercedes-Maybach 6Concept EQG,A mid-cycle update was introduced in 2016 for the 2017 model year along with rev,A mid-cycle update was introduced in 2016 for the 2017 model year along with revised engine and transmission options.,,
,,,"Clarke, R.M., ed. (1980). On Mercedes Sports & GT Cars 1970-1980. Road & Track Series. Cobham, Surrey, UK: Brooklands Books. ISBN 0907073395.",L 190 hp (142 kW) I6,,,,2022 Mercedes-Benz SL-Class Configurations Select up to 3 trims below to compare,2022 Mercedes-Benz SL-Class Configurations Select up to 3 trims below to compare some key specs and options for the 2022 Mercedes-Benz SL-Class.,,
,,,"———————; Riedner, Mike (1999). Mercedes- Benz 300 SL: Vom Rennsport zur Legende [Mercedes- Benz 300 SL: From Racing to Legend] (in German). Stuttgart: Motorbuch Verlag. ISBN 3613012685.",L 231 hp (172 kW) I6,,,,Standard equipment includes the features that come with this vehicle.,Standard equipment includes the features that come with this vehicle.,,
,,,"Larimer, Fred (2004). Mercedes-Benz Buyer's Guide: Roadsters, Coupes, and Convertibles. St. Paul, MN, USA: MBI Publishing. ISBN 0760318115.",,,,,Select Your Options Choose options to include in this vehicle value.,Select Your Options Choose options to include in this vehicle value.,,
,,,"Lintelmann, Reinhard (2010). Mercedes-Benz SL: Die Sportwagen-Legende [Mercedes-Benz SL: The Legendary Sports Car] (in German). Köln: Komet Verlag. ISBN 9783898368636.",,,,,"For the most accurate pricing and values on new or used vehicles, select the opt","For the most accurate pricing and values on new or used vehicles, select the optional features on the vehicle.",,
,,,"——————— (2004). Mercedes-Benz 300SLR: The Fabulous 1955 World-Championship Sports-Racer. Ludvigsen Library Series. Hudson, WI, USA: Iconografix. ISBN 1583881220.",,,,,,,,
,,,"———————— (1999). Mercedes-Benz SL Sports Cars. Suttons Photographic History of Transport series. Stroud, Gloucestershire, England: Sutton Publishing. ISBN 075092232X.",,,,,,,,
