Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2024,Chevrolet,Equinox,"Wheelbase 116.3 in (2,954 mm)",Electric motor Permanent magnet motor,,Electric range EPA 326 mi (525 km) (2025 FWD),The Chevrolet Equinox EV is a battery electric compact crossover SUV manufactured by General Motors under the Chevrolet brand since 2024.,"A larger battery with 300 mi (480 km) range was to be optional on the 2024 1LT,","A larger battery with 300 mi (480 km) range was to be optional on the 2024 1LT, and standard on 2LT, 3LT, 2RS and 3RS.","2024 Chevrolet Equinox LT The Equinox LT trim includes heated front seats, a power liftgat","2024 Chevrolet Equinox LT The Equinox LT trim includes heated front seats, a power liftgate, and the features of the LS Convenience package."
,,,"During its introduction, General Motors stated that Equinox EV would have a starting price of around US$30,000 in the United States and would be offered in various LT and RS trim levels.",Power output 220 or 300 hp (223 or 304 PS; 164 or 224 kW) (2025),,"All trim levels have optional all-wheel drive, with dual motors producing 290 hp (294 PS; 216 kW) and 346 lb⋅ft (469 N⋅m; 47.8 kg⋅m) torque, with an estimated range of 280 mi (450 km).","The Equinox EV is built on GM’s BEV3 platform, featuring a design and underpinnings different from the ICE-powered Equinox.","All trim levels have optional all-wheel drive, with dual motors producing 290 hp","All trim levels have optional all-wheel drive, with dual motors producing 290 hp (294 PS; 216 kW) and 346 lb⋅ft (469 N⋅m; 47.8 kg⋅m) torque, with an estimated range of 280 mi (450 km).","color touchscreen, (MCZ) 2 USB ports, located in front console bin, (MCR) 2 USB data ports","color touchscreen, (MCZ) 2 USB ports, located in front console bin, (MCR) 2 USB data ports, includes SD Card Reader, auxiliary input jack, located within front center storage bin, (UVD) heated steering wheel and (KI6) 120-volt power outlet (Included and only available with (PDI) Safety and Infotainment Package."
,,,"All trim levels have optional all-wheel drive, with dual motors producing 290 hp (294 PS; 216 kW) and 346 lb⋅ft (469 N⋅m; 47.8 kg⋅m) torque, with an estimated range of 280 mi (450 km).",Battery Ultium lithium-ion; 85kWh; 288V,,,"During its introduction, General Motors stated that Equinox EV would have a starting price of around US$30,000 in the United States and would be offered in various LT and RS trim levels.",A V2L (vehicle-to-load) system was to be optional for the 2024 3RS trim level.[2,"A V2L (vehicle-to-load) system was to be optional for the 2024 3RS trim level. However, GM deferred this capability to the 2025 model year, and as of September 2024 it remains unavailable even on 2025 vehicles. The option later become available in 2025. Cargo space is rated at 57.2 cu ft (1,620 L), which is nearly 7 cubic feet less than the ICE-powered Equinox due to its sleeker exterior design.",,
,,,,kW (Level 2 AC),,,"Cargo space is rated at 57.2 cu ft (1,620 L), which is nearly 7 cubic feet less than the ICE-powered Equinox due to its sleeker exterior design. No front cargo space (""frunk"") is available as the hood houses propulsion systems and electronic systems instead.","""2025 Chevy Equinox EV Now Available To Order With V2H PowerShift Charger Option","""2025 Chevy Equinox EV Now Available To Order With V2H PowerShift Charger Option"".",,
,,,,"kW (Level 2 AC, Equinox 3RS)",,,,"""Here Is 2025 Chevy Equinox EV Pricing With Options And Packages"".","""Here Is 2025 Chevy Equinox EV Pricing With Options And Packages"".",,
,,,,kW (DC),,,,"Rear cross-traffic alert, a blind-spot monitor, and rear parking sensors are sta","Rear cross-traffic alert, a blind-spot monitor, and rear parking sensors are stand-alone options.",,
,,,,The Chevrolet Equinox EV is a battery electric compact crossover SUV manufactured by General Motors under the Chevrolet brand since 2024.,,,,"2024 Chevrolet Equinox LT The Equinox LT trim includes heated front seats, a pow","2024 Chevrolet Equinox LT The Equinox LT trim includes heated front seats, a power liftgate, and the features of the LS Convenience package.",,
,,,,"All trim levels have optional all-wheel drive, with dual motors producing 290 hp (294 PS; 216 kW) and 346 lb⋅ft (469 N⋅m; 47.8 kg⋅m) torque, with an estimated range of 280 mi (450 km).",,,,"2024 Chevrolet Equinox Specs, Features & Options Here's everything you need to k","2024 Chevrolet Equinox Specs, Features & Options Here's everything you need to know about each trim in the 2024 Chevrolet Equinox lineup.",,
,,,,An August 2025 study by Mercury Insurance found that Equinox EV was the 2nd most affordable electric vehicle to insure in the United States.,,,,"color touchscreen, (MCZ) 2 USB ports, located in front console bin, (MCR) 2 USB","color touchscreen, (MCZ) 2 USB ports, located in front console bin, (MCR) 2 USB data ports, includes SD Card Reader, auxiliary input jack, located within front center storage bin, (UVD) heated steering wheel and (KI6) 120-volt power outlet (Included and only available with (PDI) Safety and Infotainment Package.",,
,,,,"Despite not reaching dealers until May 2024, the Equinox EV became GM's best-selling electric vehicle in its first year.",,,,Standard equipment includes the features that come with this vehicle.,Standard equipment includes the features that come with this vehicle.,,
,,,,,,,,"View detailed specs, features and options for the 2024 Chevrolet Equinox AWD 4dr","View detailed specs, features and options for the 2024 Chevrolet Equinox AWD 4dr LT w/1LT at U.S.",,
,,,,,,,,GM Authority is taking a closer look at pricing information for the 2024 Chevy E,"GM Authority is taking a closer look at pricing information for the 2024 Chevy Equinox, including the options and packages.",,
,,,,,,,,2024 Chevrolet Truck Equinox STANDARD EQUIPMENT USA S = Standard Equipment A = A,2024 Chevrolet Truck Equinox STANDARD EQUIPMENT USA S = Standard Equipment A = Available --(dashes) = Not Available D = ADI Available 2024 Chevrolet Equinox Trim Levels Explained.,,
,,,,,,,,"Contact Ancira Winton Chevrolet for pricing, specials and finance options.","Contact Ancira Winton Chevrolet for pricing, specials and finance options.",,
,,,,,,,,Pricing and Which One to Buy The price of the 2024 Chevrolet Equinox starts at $,"Pricing and Which One to Buy The price of the 2024 Chevrolet Equinox starts at $27,995 and goes up to $33,195 depending on the trim and options.",,
