Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,Honda,Passport,Honda Passport,"Front-engine, rear-wheel-drive (1994–2002)",Transmission,Honda Passport EX-L AWD (pre-facelift),"In 1996, for the 1997 model year, the DX trim was dropped. The 2.6 L engine option was also dropped. All models were powered by the V6 engine.","EX trims gained extra equipment and features. In 1995, for the 1996 model yea","EX trims gained extra equipment and features. In 1995, for the 1996 model year, the 3.2 L V6 was upgraded from 130.5 kW (175 hp; 177 PS) to 142 kW (190 hp; 193 PS).",Parking sensors (front and rear) (Honda Sensing® feature) Driver's seat with 10-way power,"Parking sensors (front and rear) (Honda Sensing® feature) Driver's seat with 10-way power adjustment, including power lumbar support Two-position memory for driver's seat and side mirrors Heated body-colored power side mirrors with integrated LED turn indicators, memory and reverse-gear tilt-down Tri-zone automatic climate control system with humidity control and air filtration Power ..."
,,,Fourth generation Honda Passport,"Front-engine, front-wheel-drive (2019–2022)",speed manual,"In 2022, for the 2023 model year, the front-wheel drive EX-L option was discontinued from the lineup, therefore all-wheel drive became standard on all Passport models.",Predecessor Honda Element,The 2.6 L engine option was also dropped.,The 2.6 L engine option was also dropped.,,
,,,"In 1994, for the 1995 model year, the Passport received driver and front passenger airbags. EX trims gained extra equipment and features.",Engine,,,,The Passport TrailSport comes standard with an all-wheel drive (AWD) system that,The Passport TrailSport comes standard with an all-wheel drive (AWD) system that is tuned for off-road use.,,
,,,"In 1996, for the 1997 model year, the DX trim was dropped. The 2.6 L engine option was also dropped. All models were powered by the V6 engine.",L 6VD1 V6 (EX),,,,It features LED DRL signature includes distinctive amber lighting for TrailSport,"It features LED DRL signature includes distinctive amber lighting for TrailSport models, an increased dash-to-axle ratio with a shorter front overhang, increased ground clearance with improved approach angle, and PASSPORT stamped on the front fascia and steel tailgate.",,
,,,Honda Passport V6 (pre-facelift),kW (120 hp; 122 PS) (2.6 L),,,,"In its model history, the Passport has the largest cargo space of 44 cu ft (1,20","In its model history, the Passport has the largest cargo space of 44 cu ft (1,200 L) expands to 83.5 cu ft (2,360 L) when the rear seats folded down, it features a redesigned underfloor storage area and a cargo shelf which can transform into a picnic table could be ordered as an accessory. For safety, the Honda Sensing comes standard with a number of advanced driving assistance features.",,
,,,"Wheelbase 106.4 in (2,703 mm)",–142 kW (175–190 hp; 177–193 PS) (3.2 L),,,,"The TrailSport models comes with a TrailWatch camera system, and readouts for Ro","The TrailSport models comes with a TrailWatch camera system, and readouts for Roll, Pitch and Elevation. All models comes with a 3.5-liter V6 gasoline engine paired to a 10-speed automatic transmission and comes standard with the Honda torque vectoring i-VTM4 all-wheel drive system, which features a stronger rear drive unit.",,
,,,Honda Passport V6 (facelift),"In 1995, for the 1996 model year, the 3.2 L V6 was upgraded from 130.5 kW (175 hp; 177 PS) to 142 kW (190 hp; 193 PS). A shift-on-the-fly four-wheel-drive system became available.",,,,Standard equipment includes the features that come with this vehicle.,Standard equipment includes the features that come with this vehicle.,,
,,,Honda Passport EX-L AWD (pre-facelift),"In 1996, for the 1997 model year, the DX trim was dropped. The 2.6 L engine option was also dropped. All models were powered by the V6 engine.",,,,Select Your Options Choose options to include in this vehicle value.,Select Your Options Choose options to include in this vehicle value.,,
,,,"Wheelbase 111.0 in (2,819 mm)",Honda Passport V6 (pre-facelift),,,,"For the most accurate pricing and values on new or used vehicles, select the opt","For the most accurate pricing and values on new or used vehicles, select the optional features on the vehicle.",,
,,,"In October 2020, for the 2021 model year, all trims received the 8-inch touchscreen and Apple CarPlay and Android Auto as standard equipment.",Engine 3.2 L 6VD1 V6,,,,Latest technology in the 2025 Honda Passport: Compare all specifications and con,"Latest technology in the 2025 Honda Passport: Compare all specifications and configurations of the 2025 Honda Passport, special features and options, and check out specs and trims on CarBuzz Learn everything about each trim of the 2025 Honda Passport SUV lineup including pricing, specs, tech, MPG, engine and safety features find the best Honda Passport for you.",,
,,,"In 2022, for the 2023 model year, the front-wheel drive EX-L option was discontinued from the lineup, therefore all-wheel drive became standard on all Passport models.",Honda Passport V6 (facelift),,,,"2025 Honda Passport Specs, Features & Options Here's everything you need to know","2025 Honda Passport Specs, Features & Options Here's everything you need to know about each trim in the 2025 Honda Passport lineup.",,
,,,"In October 2023, for the 2024 model year, changes include a larger center console and new armrest. The top Elite trim has been replaced with the Black Edition trim.","Front-engine, front-wheel-drive",,,,,,,
,,,Passport TrailSport (2022),,,,,,,,
,,,"In October 2023, for the 2024 model year, the TrailSport receives trim-specific suspension retuning and all-terrain tires.",,,,,,,,
,,,Honda Passport TrailSport (facelift),,,,,,,,
,,,Honda Passport Elite AWD (facelift),,,,,,,,
,,,"The 2019 Passport received a ""Top Safety Pick"" award by the IIHS.",,,,,,,,
