Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,Land Rover,Range Rover Sport,Range Rover Sport,"Layout Front-engine, four-wheel-drive",Transmission 8-speed automatic,Class Mid-size luxury 4x4,"The Range Rover Sport was prefigured by the Range Stormer concept car, and it was introduced at the 2004 North American International Auto Show.","Brembo front brakes are standard on the V8 Supercharged and TDV8, but were an op","Brembo front brakes are standard on the V8 Supercharged and TDV8, but were an option with the dynamic package on TDV6 and naturally aspirated V8 petrol.",Available In Standard And Long Wheelbases.,Available In Standard And Long Wheelbases.
,,,"The Range Rover Sport was prefigured by the Range Stormer concept car, and it was introduced at the 2004 North American International Auto Show.",Engine Petrol:,speed ZF automatic,Body style 5-door 4x4,"A replica of the Stormer was built by West Coast Customs of Corona, CA for Sheikh Hamdan bin Mohammed Al Maktoum, Crown Prince of Dubai, on the occasion of opening West Coast Customs Dubai; the car is currently registered under the Dubai Traffic And Road Authority.",Terrain Response Pre–facelift Range Rover Sport TDV6 Land Rover's patente,Terrain Response Pre–facelift Range Rover Sport TDV6 Land Rover's patented Terrain Response system which debuted on the Discovery 3 is fitted as standard on all models.,,
,,,"Wheelbase 108.1 in (2,745 mm)",Diesel:,speed ZF HP28 automatic,Hybrid drivetrain,Range Rover Sport HST Limited Edition in Fuji White,"Positive Torque, a system standard on all TDV8 and Supercharged models, electron","Positive Torque, a system standard on all TDV8 and Supercharged models, electronically blips the throttle, resulting in faster downshifts and the availability of vast reserves of torque.",,
,,,Pre–facelift Range Rover Sport TDV6,L Ford Lion V6,Years Model & transmission Engine Power Torque Top speed 0-62 mph (0–100 km/h) Economy CO2 emissions,"P360 3.0 L AJ300 turbo I6 360 PS (265 kW; 355 hp) @ 5500-6500 500 N⋅m (369 lb⋅ft) @ 1750-5000 2,996 cc (3.0 L; 182.8 cu in) 225 km/h (140 mph) ZF 8-speed automatic transmission 6.0 sec Mild hybrid AWD 2022–","Wireless Apple CarPlay and Android Auto will be available. There is 450 L of boot space (835 L, if measured to the roof, expanding to 1850 L with seats folded.","The speed sensitive steering system, adopted from Jaguar is standard on all mode","The speed sensitive steering system, adopted from Jaguar is standard on all models and there's the option of active bi-xenon headlamps which act with the angle of the steering to aid vision.",,
,,,The NCWR organisation (New Car Whiplash Ratings) tested the Range Rover Sport in 2010 and awarded it the following scores:,L Ford Lion V8,"Autobiography (2011–2013): Serving as the top trim, the Autobiography included adaptive automatic headlights, new wheels, a 360-degree camera system and more luxurious upholstery for the ultimate Range Rover Sport.","P400 3.0 L AJ300 turbo I6 400 PS (294 kW; 395 hp) @ 5500-6500 550 N⋅m (406 lb⋅ft) @ 2000-5000 2,995 cc (3.0 L; 182.8 cu in) 242 km/h (150 mph) ZF 8-speed automatic transmission 5.7 sec Mild hybrid AWD 2022–",,"SE (2006–2013): Sold only in Europe, the SE was a step up from the S, adding fea","SE (2006–2013): Sold only in Europe, the SE was a step up from the S, adding features such as heated seats, parking sensors and fog lights, it became the base trim after the S model was dropped. HSE (2006–2013): Serving as the base model for the North American market throughout its life, the HSE came standard with leather seating, dual zone automatic climate control, 19 inch wheels, 14 speaker 600 watt sound system, and the 4.4L naturally aspirated V8 (later replaced by the 5.0L V8 for the fa",,
,,,The Range Rover Sport was tested by Thatcham's New Vehicle Security Ratings (NVSR) organisation and achieved the following ratings:,speed ZF HP28 automatic,Transmission 8-speed automatic (ZF 8HP),"P530 4.4 L twin-turbo V8 530 PS (390 kW; 523 hp) @ 5500-6000 750 N⋅m (553 lb⋅ft) @ 1800-4600 4,395 cc (4.4 L; 268.2 cu in) 250 km/h (155 mph) ZF 8-speed automatic transmission 4.5 sec Petrol AWD 2022–",,"It was later offered with a Luxury package, which included much of the optional","It was later offered with a Luxury package, which included much of the optional equipment as standard Supercharged (2006–2013): The performance model, the Supercharged added the supercharged V8 engine for improved performance, as well as other luxury features.",,
,,,Trim,Engine,Transmission 8-speed ZF 8HP automatic,"SV 4.4 L twin-turbo V8 635 PS (467 kW; 626 hp) @ 6000-7000rpm 750 N⋅m (553 lb⋅ft) @ 1800-5800rpm 4,395 cc (4.4 L; 268.2 cu in) 290 km/h (180 mph) ZF 8-speed automatic transmission 3.6 sec Petrol AWD 2023–",,"HST (2006–2009): Exclusive to Europe, the HST added a sportier body kit with new","HST (2006–2009): Exclusive to Europe, the HST added a sportier body kit with new bumpers and grille designs, and came with much of the optional equipment fitted as standard.",,
,,,"Throughout its production run, the first generation Range Rover Sport was available in a variety of trims.",Years Model & transmission Engine Power Torque Top speed 0-62 mph (0–100 km/h) Economy CO2 emissions,Engine Power Torque Displacement Top speed Transmission Acceleration (0-60/100) Propulsion type Drive Production,"D250 3.0 L AJ300D twin-turbo I6 250 PS (184 kW; 247 hp) @ 4000 600 N⋅m (443 lb⋅ft) @ 1250–2250 2,997 cc (3.0 L; 182.9 cu in) 206 km/h (128 mph) ZF 8-speed automatic transmission 8.0 sec Mild hybrid AWD 2022–",,"Facelift (2018–2022) In 2017, at the Los Angeles Car Show, the Jaguar Lan","Facelift (2018–2022) In 2017, at the Los Angeles Car Show, the Jaguar Land Rover Group announced the facelifted Range Rover Sport would begin production in 2018.",,
,,,"S (2006–2009): Sold only in Europe, the S was the cheapest Range Rover Sport available, this version came with cloth seating, a CD player, cruise control, sat nav, and the 2.7TD V6 diesel.",Diesel,"P360 3.0 L AJ300 turbo I6 360 PS (265 kW; 355 hp) @ 5500-6500 500 N⋅m (369 lb⋅ft) @ 1750-5000 2,996 cc (3.0 L; 182.8 cu in) 225 km/h (140 mph) ZF 8-speed automatic transmission 6.0 sec Mild hybrid AWD 2022–","D300 3.0 L AJ300D twin-turbo I6 300 PS (221 kW; 296 hp) @ 4000 650 N⋅m (479 lb⋅ft) @ 1250–2250 2,993 cc (3.0 L; 182.6 cu in) 218 km/h (135 mph) ZF 8-speed automatic transmission 6.6 sec Mild hybrid AWD 2022–",,"The SVR comes with 21 inch alloy wheels, wrapped in 275/45 R21 all-season tyres","The SVR comes with 21 inch alloy wheels, wrapped in 275/45 R21 all-season tyres as standard.",,
,,,"SE (2006–2013): Sold only in Europe, the SE was a step up from the S, adding features such as heated seats, parking sensors and fog lights, it became the base trim after the S model was dropped.","–2009 2.7 L TDV6 CommandShift 2.7 L, V6 turbodiesel 190 PS (140 kW; 187 hp) 440 N⋅m (325 lbf⋅ft) 120 mph (193 km/h) 11.9 s 28.2 mpg‑imp (10.0 L/100 km; 23.5 mpg‑US) 265 g/km","P400 3.0 L AJ300 turbo I6 400 PS (294 kW; 395 hp) @ 5500-6500 550 N⋅m (406 lb⋅ft) @ 2000-5000 2,995 cc (3.0 L; 182.8 cu in) 242 km/h (150 mph) ZF 8-speed automatic transmission 5.7 sec Mild hybrid AWD 2022–","D350 3.0 L AJ300D twin-turbo I6 350 PS (257 kW; 345 hp) @ 4000 700 N⋅m (516 lb⋅ft) @ 1500-3000 2,997 cc (3.0 L; 182.9 cu in) 234 km/h (145 mph) ZF 8-speed automatic transmission 5.9 sec Mild hybrid AWD 2022–",,Designed to bridge the gap between the V6 powered HSE and the Supercharged model,"Designed to bridge the gap between the V6 powered HSE and the Supercharged models, the HST Limited Edition featured a tuned version of the HSE's 3.0 L Jaguar AJ supercharged V6 with 380 bhp, 40 more than standard.",,
