Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2025,Mercedes,CLE,"Wheelbase 2,865 mm (112.8 in)","Layout Front-engine, rear-wheel-drive",Transmission 9-speed 9G-Tronic automatic,Hybrid drivetrain Mild hybrid,Predecessor Mercedes-Benz C-Class (C205 & A205),"Equipment Interior The CLE has a rounded, single-bar grille with a honeyc","Equipment Interior The CLE has a rounded, single-bar grille with a honeycomb mesh insert and is accompanied by C-Class-style headlights and sporty air intakes.",,
,,,"In 2005 a car named the ""CLE"" was rumoured and was expected to arrive in mid-2006. Thought to be based on the W204, a car of this type never came to production—until 2023.","Front-engine, four-wheel-drive (4Matic)",The CLE 53 AMG produces 443 hp and 413 lb-ft of torque (443 lb-ft for 10 seconds with overboost). The 48-volt integrated starter generator (ISG) provides support at lower engine speeds with 23 hp and 151 lb-ft.,Front motor: 200 N⋅m (20.4 kg⋅m; 148 lb⋅ft) 48V EQ Boost Mild Hybrid System 9-speed 9G-Tronic automatic 240 km/h (149 mph) 7.4 s RWD,"In 2005 a car named the ""CLE"" was rumoured and was expected to arrive in mid-2006. Thought to be based on the W204, a car of this type never came to production—until 2023.",The rear includes LED taillights and an angular boot with an integrated spoiler.,The rear includes LED taillights and an angular boot with an integrated spoiler.,,
,,,"The base CLE 300 is powered by the M254 motor, a turbocharged 2.0-liter inline-four producing 255 horsepower and 295 pound-feet of torque.",Engine,Type Model Engine code Displacement Power Torque Electric motor Trans. Top speed 0–100 km/h (0–62 mph) Layout Cal. years,AWD (4Matic),"The base CLE 300 is powered by the M254 motor, a turbocharged 2.0-liter inline-four producing 255 horsepower and 295 pound-feet of torque.",,,,
,,,,Petrol plug-in hybrid:,,Front motor: 200 N⋅m (20.4 kg⋅m; 148 lb⋅ft) Permanent magnet syncronus motor 250 km/h (155 mph) 6.3 s RWD,BionicBlueZEROC111C112ConceptFASCINATIONEQESF 2009 Experimental Safety VehicleF-CellF-Cell RoadsterF100F125F200 ImaginationF700F800Ocean DriveSilver LightningVario Research CarVision CLSVision EQXXVision SLAESF 2019Vision Mercedes-Maybach 6Concept EQG,,,,
,,,,Diesel:,,Front motor: 200 N⋅m (20.4 kg⋅m; 148 lb⋅ft) 48V EQ Boost Mild Hybrid System 238 km/h (148 mph) 7.5 s RWD,,,,,
,,,,L OM654 mild hybrid I4 (CLE 220d),,Front motor: 200 N⋅m (20.4 kg⋅m; 148 lb⋅ft) 48V EQ Boost Mild Hybrid System 250 km/h (155 mph) 4.2 s AWD (4Matic),,,,,
,,,,Electric motor,,,,,,,
,,,,hp Mitsubishi electric 48-volt integrated starter generator (ISG),,,,,,,
,,,,Hybrid drivetrain Mild hybrid,,,,,,,
,,,,Plug-in Hybrid (CLE 300e),,,,,,,
,,,,kWh High voltage Lithium-ion (PHEV),,,,,,,
,,,,"The Cabriolet model additionally features an acoustic soft top, AIRCAP electric wind deflector system, AIRSCARF neck-level heating and ventilation, and electric cargo divider system.",,,,,,,
,,,,"Four models are available at launch, which include the petrol CLE 200, CLE 300, CLE 450, and the diesel CLE 220d.",,,,,,,
