Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1984,Audi,5000,S,2.1L V5 ((FFS)),Automatic 3-spd,,Regular Gasoline,Midsize Cars,5,2.1,15,20,17,,,,,,2.1L V5 Turbo,Turbocharged
1984,Audi,5000,S,"2.1L V5 ((FFS,TRBO))",Automatic 3-spd,,Regular Gasoline,Midsize Cars,5,2.1,15,20,17,,,,,,2.1L V5 Turbo,Turbocharged
1984,Audi,5000,S,2.1L V5 ((FFS)),Manual 5-spd,,Regular Gasoline,Midsize Cars,5,2.1,17,23,19,,,,,,2.1L V5 Turbo,Turbocharged
1984,Audi,5000,S Wagon,2.1L V5 ((FFS)),Automatic 3-spd,,Regular Gasoline,Midsize Station Wagons,5,2.1,15,20,17,,,,,,2.1L V5 Turbo,Turbocharged
1984,Audi,5000,S Wagon,2.1L V5 ((FFS)),Manual 5-spd,,Regular Gasoline,Midsize Station Wagons,5,2.1,16,23,19,,,,,,2.1L V5 Turbo,Turbocharged
1984,Audi,5000,S,"2.1L V5 ((FFS,TRBO) CA model)",Automatic 3-spd,,Regular Gasoline,Midsize Cars,5,2.1,15,19,17,,,,,,2.1L V5 Turbo,Turbocharged
1984,Audi,5000,S,2.1L V5 ((FFS) CA model),Automatic 3-spd,,Regular Gasoline,Midsize Cars,5,2.1,16,21,18,,,,,,2.1L V5 Turbo,Turbocharged
1984,Audi,5000,S,2.1L V5 ((FFS) CA model),Manual 5-spd,,Regular Gasoline,Midsize Cars,5,2.1,17,24,19,,,,,,2.1L V5 Turbo,Turbocharged
1984,Audi,5000,S Wagon,2.1L V5 ((FFS) CA model),Automatic 3-spd,,Regular Gasoline,Midsize Station Wagons,5,2.1,16,21,18,,,,,,2.1L V5 Turbo,Turbocharged
1984,Audi,5000,S Wagon,2.1L V5 ((FFS) CA model),Manual 5-spd,,Regular Gasoline,Midsize Station Wagons,5,2.1,16,24,19,,,,,,2.1L V5 Turbo,Turbocharged
