Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1984,Chrysler,LeBaron,Convertible,2.2L I4 ((FFS)),Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,2.2,19,24,21,,,,,,2.2L I4,
1984,Chrysler,LeBaron,Convertible,2.2L I4 ((FFS)),Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,2.2,20,25,22,,,,,,2.2L I4,
1984,Chrysler,LeBaron,Convertible,"2.2L I4 ((FFS,TRBO))",Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,2.2,18,22,19,,,,,,2.2L I4,
1984,Chrysler,LeBaron,Convertible,2.6L I4 ((FFS)),Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,2.6,18,22,20,,,,,,2.6L I4,
1984,Chrysler,LeBaron,LeBaron,2.2L I4 ((FFS)),Automatic 3-spd,,Regular Gasoline,Midsize Cars,4,2.2,20,24,22,,,,,,2.2L I4,
1984,Chrysler,LeBaron,LeBaron,2.2L I4 ((FFS)),Manual 5-spd,,Regular Gasoline,Midsize Cars,4,2.2,21,29,24,,,,,,2.2L I4,
1984,Chrysler,LeBaron,LeBaron,2.2L I4 ((FFS)),Automatic 3-spd,,Regular Gasoline,Midsize Cars,4,2.2,20,24,22,,,,,,2.2L I4,
1984,Chrysler,LeBaron,LeBaron,"2.2L I4 ((FFS,TRBO))",Automatic 3-spd,,Regular Gasoline,Midsize Cars,4,2.2,18,22,19,,,,,,2.2L I4,
1984,Chrysler,LeBaron,LeBaron,2.2L I4 ((FFS)),Manual 5-spd,,Regular Gasoline,Midsize Cars,4,2.2,19,31,23,,,,,,2.2L I4,
1984,Chrysler,LeBaron,LeBaron,2.6L I4 ((FFS)),Automatic 3-spd,,Regular Gasoline,Midsize Cars,4,2.6,18,22,20,,,,,,2.6L I4,
1984,Chrysler,LeBaron,Convertible,2.2L I4 ((FFS) CA model),Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,2.2,20,24,21,,,,,,2.2L I4,
1984,Chrysler,LeBaron,Convertible,"2.2L I4 ((FFS,TRBO) CA model)",Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,2.2,18,22,19,,,,,,2.2L I4,
1984,Chrysler,LeBaron,Convertible,2.2L I4 ((FFS) CA model),Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,2.2,19,24,21,,,,,,2.2L I4,
1984,Chrysler,LeBaron,Convertible,2.6L I4 (CA model),Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,2.6,18,21,19,,,,,,2.6L I4,
1984,Chrysler,LeBaron,LeBaron,2.2L I4 ((FFS) CA model),Automatic 3-spd,,Regular Gasoline,Midsize Cars,4,2.2,20,24,21,,,,,,2.2L I4,
1984,Chrysler,LeBaron,LeBaron,2.2L I4 ((FFS) CA model),Manual 5-spd,,Regular Gasoline,Midsize Cars,4,2.2,21,31,25,,,,,,2.2L I4,
1984,Chrysler,LeBaron,LeBaron,"2.2L I4 ((FFS,TRBO) CA model)",Automatic 3-spd,,Regular Gasoline,Midsize Cars,4,2.2,18,22,19,,,,,,2.2L I4,
1984,Chrysler,LeBaron,LeBaron,2.2L I4 ((FFS) CA model),Automatic 3-spd,,Regular Gasoline,Midsize Cars,4,2.2,19,23,21,,,,,,2.2L I4,
1984,Chrysler,LeBaron,LeBaron,2.2L I4 ((FFS) CA model),Manual 5-spd,,Regular Gasoline,Midsize Cars,4,2.2,18,30,22,,,,,,2.2L I4,
1984,Chrysler,LeBaron,LeBaron,2.6L I4 (CA model),Automatic 3-spd,,Regular Gasoline,Midsize Cars,4,2.6,18,21,19,,,,,,2.6L I4,
