Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1984,Dodge,Ramcharger,AD100/AD150 Ramcharger 2WD,5.2L V8,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,8,5.2,11,14,12,,,,,
1984,Dodge,Ramcharger,AD100/AD150 Ramcharger 2WD,5.2L V8,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,8,5.2,11,11,11,,,,,
1984,Dodge,Ramcharger,AD100/AD150 Ramcharger 2WD,5.9L V8,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,8,5.9,10,12,11,,,,,
1984,Dodge,Ramcharger,AW100/AW150 Ramcharger 4WD,5.2L V8,Automatic 3-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 4WD,8,5.2,11,12,11,,,,,
1984,Dodge,Ramcharger,AW100/AW150 Ramcharger 4WD,5.2L V8,Manual 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 4WD,8,5.2,10,12,11,,,,,
1984,Dodge,Ramcharger,AW100/AW150 Ramcharger 4WD,5.9L V8,Automatic 3-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 4WD,8,5.9,9,11,10,,,,,
1984,Dodge,Ramcharger,AD100/AD150 Ramcharger 2WD,5.2L V8 ((FFS) CA model),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,8,5.2,11,14,12,,,,,
1984,Dodge,Ramcharger,AD100/AD150 Ramcharger 2WD,5.9L V8 (CA model),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,8,5.9,10,12,11,,,,,
1984,Dodge,Ramcharger,AW100/AW150 Ramcharger 4WD,5.2L V8 ((FFS) CA model),Automatic 3-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 4WD,8,5.2,11,12,11,,,,,
1984,Dodge,Ramcharger,AW100/AW150 Ramcharger 4WD,5.9L V8 (CA model),Automatic 3-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 4WD,8,5.9,9,11,10,,,,,
