Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1984,Mercury,Capri,Capri,2.3L I4 ((FFS)),Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,2.3,18,22,20,,,,,
1984,Mercury,Capri,Capri,2.3L I4 ((FFS)),Manual 4-spd,,Regular Gasoline,Subcompact Cars,4,2.3,19,26,22,,,,,
1984,Mercury,Capri,Capri,"2.3L I4 ((FFS,TRBO))",Manual 5-spd,,Regular Gasoline,Subcompact Cars,4,2.3,17,24,19,,,,,
1984,Mercury,Capri,Capri,3.8L V6 ((FFS)),Automatic 3-spd,,Regular Gasoline,Subcompact Cars,6,3.8,18,20,19,,,,,
1984,Mercury,Capri,Capri,5.0L V8,Manual 5-spd,,Regular Gasoline,Subcompact Cars,8,5.0,13,21,16,,,,,
1984,Mercury,Capri,Capri,5.0L V8 ((FFS)),Automatic 4-spd,,Regular Gasoline,Subcompact Cars,8,5.0,15,22,17,,,,,
1984,Mercury,Capri,Capri,2.3L I4 ((FFS) CA model),Automatic 3-spd,,Regular Gasoline,Subcompact Cars,4,2.3,17,22,19,,,,,
1984,Mercury,Capri,Capri,2.3L I4 ((FFS) CA model),Manual 4-spd,,Regular Gasoline,Subcompact Cars,4,2.3,18,25,21,,,,,
1984,Mercury,Capri,Capri,"2.3L I4 ((FFS,TRBO) CA model)",Manual 5-spd,,Regular Gasoline,Subcompact Cars,4,2.3,17,24,19,,,,,
1984,Mercury,Capri,Capri,3.8L V6 ((FFS) CA model),Automatic 3-spd,,Regular Gasoline,Subcompact Cars,6,3.8,18,20,19,,,,,
1984,Mercury,Capri,Capri,5.0L V8 (CA model),Manual 5-spd,,Regular Gasoline,Subcompact Cars,8,5.0,13,20,15,,,,,
1984,Mercury,Capri,Capri,5.0L V8 ((FFS) CA model),Automatic 4-spd,,Regular Gasoline,Subcompact Cars,8,5.0,14,20,16,,,,,
