Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1985,Buick,Skyhawk,Skyhawk,1.8L I4 ((FFS/TRBO) CA model),Automatic 3-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,4,1.8,17,23,19,,,,,,1.8L I4,
1985,Buick,Skyhawk,Skyhawk,1.8L I4 ((FFS/TRBO) CA model),Manual 4-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,4,1.8,19,27,22,,,,,,1.8L I4,
1985,Buick,Skyhawk,Skyhawk,2.0L I4 ((FFS) CA model),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,19,26,22,,,,,,2.0L I4,
1985,Buick,Skyhawk,Skyhawk,2.0L I4 ((FFS) CA model),Manual 4-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,22,29,25,,,,,,2.0L I4,
1985,Buick,Skyhawk,Wagon,2.0L I4 ((FFS) CA model),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Small Station Wagons,4,2.0,19,26,22,,,,,,2.0L I4,
1985,Buick,Skyhawk,Wagon,2.0L I4 ((FFS) CA model),Manual 4-spd,Front-Wheel Drive,Regular Gasoline,Small Station Wagons,4,2.0,22,29,25,,,,,,2.0L I4,
1985,Buick,Skyhawk,Skyhawk,1.8L I4 ((CAL)(FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,1.8,21,29,24,,,,,,1.8L I4,
1985,Buick,Skyhawk,Skyhawk,1.8L I4 ((FFS/TRBO)),Automatic 3-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,4,1.8,18,23,20,,,,,,1.8L I4,
1985,Buick,Skyhawk,Skyhawk,1.8L I4 ((FFS/TRBO)),Manual 4-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,4,1.8,19,24,21,,,,,,1.8L I4,
1985,Buick,Skyhawk,Skyhawk,1.8L I4 ((CAL)(FFS)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,1.8,23,32,26,,,,,,1.8L I4,
1985,Buick,Skyhawk,Skyhawk,2.0L I4 ((FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,22,27,24,,,,,,2.0L I4,
1985,Buick,Skyhawk,Skyhawk,2.0L I4 ((FFS)),Manual 4-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,23,32,26,,,,,,2.0L I4,
1985,Buick,Skyhawk,Wagon,1.8L I4 ((CAL)(FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Small Station Wagons,4,1.8,21,29,24,,,,,,1.8L I4,
1985,Buick,Skyhawk,Wagon,1.8L I4 ((CAL)(FFS)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Small Station Wagons,4,1.8,23,32,26,,,,,,1.8L I4,
1985,Buick,Skyhawk,Wagon,2.0L I4 ((FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Small Station Wagons,4,2.0,22,27,24,,,,,,2.0L I4,
1985,Buick,Skyhawk,Wagon,2.0L I4 ((FFS)),Manual 4-spd,Front-Wheel Drive,Regular Gasoline,Small Station Wagons,4,2.0,23,32,26,,,,,,2.0L I4,
