Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1985,Chevrolet,C10 Pickup,2WD,4.3L V6 ((FFS) CA model),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.3,15,18,16,,,,,,4.3L V6,
1985,Chevrolet,C10 Pickup,2WD,4.3L V6 ((FFS) CA model),Manual 3-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.3,15,17,16,,,,,,4.3L V6,
1985,Chevrolet,C10 Pickup,2WD,4.3L V6 ((FFS) CA model),Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.3,15,18,16,,,,,,4.3L V6,
1985,Chevrolet,C10 Pickup,2WD,5.0L V8 ((GM-CHEV) (FFS) CA model),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.0,13,17,14,,,,,,5.0L V8,
1985,Chevrolet,C10 Pickup,2WD,Diesel 6.2L V8 (CA model) Diesel,Manual 4-spd,Rear-Wheel Drive,Diesel,Standard Pickup Trucks,8,6.2,18,22,19,,,,,,6.2L V8,
1985,Chevrolet,C10 Pickup,2WD,4.3L V6,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.3,16,19,17,,,,,,4.3L V6,
1985,Chevrolet,C10 Pickup,2WD,5.0L V8 ((GM-CHEV)),Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.0,13,17,14,,,,,,5.0L V8,
1985,Chevrolet,C10 Pickup,2WD,4.3L V6,Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.3,16,18,17,,,,,,4.3L V6,
1985,Chevrolet,C10 Pickup,2WD,4.3L V6,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.3,15,20,17,,,,,,4.3L V6,
1985,Chevrolet,C10 Pickup,2WD,4.3L V6,Manual 3-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.3,16,19,17,,,,,,4.3L V6,
1985,Chevrolet,C10 Pickup,2WD,4.3L V6,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.3,15,20,17,,,,,,4.3L V6,
1985,Chevrolet,C10 Pickup,2WD,5.0L V8 ((GM-CHEV)),Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.0,12,15,13,,,,,,5.0L V8,
1985,Chevrolet,C10 Pickup,2WD,5.0L V8 ((GM-CHEV)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.0,14,18,15,,,,,,5.0L V8,
1985,Chevrolet,C10 Pickup,2WD,5.0L V8 ((GM-CHEV)),Manual 3-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.0,13,17,14,,,,,,5.0L V8,
1985,Chevrolet,C10 Pickup,2WD,5.0L V8 ((GM-CHEV)),Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.0,13,17,14,,,,,,5.0L V8,
1985,Chevrolet,C10 Pickup,2WD,Diesel 6.2L V8 Diesel,Automatic 4-spd,Rear-Wheel Drive,Diesel,Standard Pickup Trucks,8,6.2,17,22,19,,,,,,6.2L V8,
1985,Chevrolet,C10 Pickup,2WD,Diesel 6.2L V8 Diesel,Manual 4-spd,Rear-Wheel Drive,Diesel,Standard Pickup Trucks,8,6.2,18,22,19,,,,,,6.2L V8,
1985,Chevrolet,C10 Pickup,2WD,Diesel 6.2L V8 Diesel,Manual 4-spd,Rear-Wheel Drive,Diesel,Standard Pickup Trucks,8,6.2,18,20,19,,,,,,6.2L V8,
