Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1985,Chevrolet,Sport Van,G10/20 Sport Van 2WD,4.3L V6 ((FFS) CA model),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Vans,6,4.3,14,16,15,,,,,,4.3L V6,
1985,Chevrolet,Sport Van,G10/20 Sport Van 2WD,4.3L V6 ((FFS) CA model),Manual 3-spd,Rear-Wheel Drive,Regular Gasoline,Vans,6,4.3,13,16,14,,,,,,4.3L V6,
1985,Chevrolet,Sport Van,G10/20 Sport Van 2WD,5.7L V8 ((350 V8) (FFS) CA model),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Vans,8,5.7,11,15,12,,,,,,5.7L V8,
1985,Chevrolet,Sport Van,G10/20 Sport Van 2WD,Diesel 6.2L V8 (CA model) Diesel,Automatic 4-spd,Rear-Wheel Drive,Diesel,Vans,8,6.2,15,22,18,,,,,,6.2L V8,
1985,Chevrolet,Sport Van,G30 Sport Van 2WD,5.7L V8 ((350 V8) (FFS) CA model),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Vans,8,5.7,10,13,11,,,,,,5.7L V8,
1985,Chevrolet,Sport Van,G10/20 Sport Van 2WD,4.3L V6,Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Vans,6,4.3,14,16,15,,,,,,4.3L V6,
1985,Chevrolet,Sport Van,G10/20 Sport Van 2WD,4.3L V6,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Vans,6,4.3,15,17,16,,,,,,4.3L V6,
1985,Chevrolet,Sport Van,G10/20 Sport Van 2WD,4.3L V6,Manual 3-spd,Rear-Wheel Drive,Regular Gasoline,Vans,6,4.3,14,17,15,,,,,,4.3L V6,
1985,Chevrolet,Sport Van,G10/20 Sport Van 2WD,5.0L V8 ((GM-CHEV)),Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Vans,8,5.0,11,12,12,,,,,,5.0L V8,
1985,Chevrolet,Sport Van,G10/20 Sport Van 2WD,5.0L V8 ((GM-CHEV)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Vans,8,5.0,12,16,14,,,,,,5.0L V8,
1985,Chevrolet,Sport Van,G10/20 Sport Van 2WD,5.7L V8 ((350 V8)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Vans,8,5.7,11,16,13,,,,,,5.7L V8,
1985,Chevrolet,Sport Van,G10/20 Sport Van 2WD,Diesel 6.2L V8 Diesel,Automatic 4-spd,Rear-Wheel Drive,Diesel,Vans,8,6.2,15,22,18,,,,,,6.2L V8,
1985,Chevrolet,Sport Van,G10/20 Sport Van 2WD,Diesel 6.2L V8 Diesel,Manual 4-spd,Rear-Wheel Drive,Diesel,Vans,8,6.2,16,19,17,,,,,,6.2L V8,
1985,Chevrolet,Sport Van,G30 Sport Van 2WD,5.7L V8 ((350 V8)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Vans,8,5.7,10,12,11,,,,,,5.7L V8,
