Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1985,Nissan,300ZX,300ZX,"3.0L V6 ((FFS,TRBO) CA model)",Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,6,3.0,15,20,17,,,,,,3.0L V6,
1985,Nissan,300ZX,300ZX,"3.0L V6 ((FFS,TRBO) CA model)",Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,6,3.0,15,21,17,,,,,,3.0L V6,
1985,Nissan,300ZX,300ZX,3.0L V6 ((FFS) CA model),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,6,3.0,16,22,18,,,,,,3.0L V6,
1985,Nissan,300ZX,2x2,3.0L V6 ((FFS) CA model),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,6,3.0,16,22,18,,,,,,3.0L V6,
1985,Nissan,300ZX,300ZX,"3.0L V6 ((GUZZLER) (FFS,TRBO))",Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,6,3.0,15,18,16,,,,,,3.0L V6,
1985,Nissan,300ZX,300ZX,"3.0L V6 ((FFS,TRBO))",Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,6,3.0,15,20,17,,,,,,3.0L V6,
1985,Nissan,300ZX,300ZX,3.0L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,6,3.0,15,20,17,,,,,,3.0L V6,
1985,Nissan,300ZX,300ZX,3.0L V6 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,6,3.0,17,23,19,,,,,,3.0L V6,
1985,Nissan,300ZX,300ZX,"3.0L V6 ((FFS,TRBO))",Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Two Seaters,6,3.0,15,22,18,,,,,,3.0L V6,
1985,Nissan,300ZX,2x2,3.0L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,6,3.0,15,20,17,,,,,,3.0L V6,
1985,Nissan,300ZX,2x2,3.0L V6 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,6,3.0,17,23,19,,,,,,3.0L V6,
