Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1985,Pontiac,6000,6000,2.8L V6 ((FFS) CA model),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.8,17,23,19,,,,,,2.8L V6,
1985,Pontiac,6000,6000,Diesel 4.3L V6 (CA model) Diesel,Automatic 3-spd,Front-Wheel Drive,Diesel,Midsize Cars,6,4.3,23,31,26,,,,,,4.3L V6,
1985,Pontiac,6000,Wagon,2.8L V6 ((FFS) CA model),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,6,2.8,16,23,19,,,,,,2.8L V6,
1985,Pontiac,6000,Wagon,Diesel 4.3L V6 (CA model) Diesel,Automatic 3-spd,Front-Wheel Drive,Diesel,Midsize-Large Station Wagons,6,4.3,23,31,26,,,,,,4.3L V6,
1985,Pontiac,6000,6000,2.5L I4 ((FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.5,21,29,24,,,,,,2.5L I4,
1985,Pontiac,6000,6000,2.8L V6 ((FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.8,18,24,20,,,,,,2.8L V6,
1985,Pontiac,6000,6000,2.8L V6 ((FFS)),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.8,17,24,20,,,,,,2.8L V6,
1985,Pontiac,6000,6000,2.8L V6 ((FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.8,17,24,19,,,,,,2.8L V6,
1985,Pontiac,6000,6000,2.8L V6 ((FFS)),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.8,17,26,20,,,,,,2.8L V6,
1985,Pontiac,6000,6000,Diesel 4.3L V6 Diesel,Automatic 3-spd,Front-Wheel Drive,Diesel,Midsize Cars,6,4.3,23,32,26,,,,,,4.3L V6,
1985,Pontiac,6000,Wagon,2.5L I4 ((FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.5,19,26,22,,,,,,2.5L I4,
1985,Pontiac,6000,Wagon,2.8L V6 ((FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,6,2.8,16,22,18,,,,,,2.8L V6,
1985,Pontiac,6000,Wagon,2.8L V6 ((FFS)),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,6,2.8,16,23,19,,,,,,2.8L V6,
1985,Pontiac,6000,Wagon,2.8L V6 ((FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,6,2.8,17,23,19,,,,,,2.8L V6,
1985,Pontiac,6000,Wagon,2.8L V6 ((FFS)),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,6,2.8,17,24,20,,,,,,2.8L V6,
1985,Pontiac,6000,Wagon,Diesel 4.3L V6 Diesel,Automatic 3-spd,Front-Wheel Drive,Diesel,Midsize-Large Station Wagons,6,4.3,23,32,26,,,,,,4.3L V6,
