Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1985,Pontiac,Firebird/Trans Am/Formula,Firebird,2.8L V6 ((FFS) CA model),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,6,2.8,16,24,19,,,,,
1985,Pontiac,Firebird/Trans Am/Formula,Firebird,2.8L V6 ((FFS) CA model),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,6,2.8,15,24,18,,,,,
1985,Pontiac,Firebird/Trans Am/Formula,Firebird,5.0L V8 ((FFS) CA model),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,8,5.0,15,20,17,,,,,
1985,Pontiac,Firebird/Trans Am/Formula,Firebird,2.5L I4 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.5,19,29,23,,,,,
1985,Pontiac,Firebird/Trans Am/Formula,Firebird,2.5L I4 ((FFS)),Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.5,19,26,22,,,,,
1985,Pontiac,Firebird/Trans Am/Formula,Firebird,2.5L I4 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,4,2.5,21,31,24,,,,,
1985,Pontiac,Firebird/Trans Am/Formula,Firebird,2.8L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,6,2.8,16,24,19,,,,,
1985,Pontiac,Firebird/Trans Am/Formula,Firebird,2.8L V6 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,6,2.8,16,24,19,,,,,
1985,Pontiac,Firebird/Trans Am/Formula,Firebird,5.0L V8 ((GM-CHEV) (FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,8,5.0,14,20,17,,,,,
1985,Pontiac,Firebird/Trans Am/Formula,Firebird,5.0L V8 ((GM-CHEV) (FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,8,5.0,14,22,17,,,,,
1985,Pontiac,Firebird/Trans Am/Formula,Firebird,5.0L V8 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Subcompact Cars,8,5.0,15,20,17,,,,,
