Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1986,Ford,Ranger,Pickup 2WD,2.0L I4,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks,4,2.0,20,25,22,,,,,,2.0L I4 Turbo,Turbocharged
1986,Ford,Ranger,Pickup 2WD,2.3L I4 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks,4,2.3,19,24,21,,,,,,2.3L I4 Turbo,Turbocharged
1986,Ford,Ranger,Pickup 2WD,Diesel 2.3L I4 ((NO-CAT)) Diesel,Manual 5-spd,Rear-Wheel Drive,Diesel,Small Pickup Trucks,4,2.3,25,29,27,,,,,,2.3L I4 Turbo,Turbocharged
1986,Ford,Ranger,Pickup 2WD,2.3L I4 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks,4,2.3,23,26,24,,,,,,2.3L I4 Turbo,Turbocharged
1986,Ford,Ranger,Pickup 2WD,2.9L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks,6,2.9,16,22,18,,,,,,2.9L V6 Twin Turbo,Twin Turbocharged
1986,Ford,Ranger,Pickup 2WD,2.9L V6 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks,6,2.9,17,22,19,,,,,,2.9L V6 Twin Turbo,Twin Turbocharged
1986,Ford,Ranger,Pickup 4WD,2.3L I4 ((FFS)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks,4,2.3,22,25,23,,,,,,2.3L I4 Turbo,Turbocharged
1986,Ford,Ranger,Pickup 4WD,Diesel 2.3L I4 ((NO-CAT)) Diesel,Manual 5-spd,All-Wheel Drive,Diesel,Small Pickup Trucks,4,2.3,24,28,26,,,,,,2.3L I4 Turbo,Turbocharged
1986,Ford,Ranger,Pickup 4WD,2.9L V6 ((FFS)),Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks,6,2.9,15,20,17,,,,,,2.9L V6 Twin Turbo,Twin Turbocharged
1986,Ford,Ranger,Pickup 4WD,2.9L V6 ((FFS)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks,6,2.9,16,20,18,,,,,,2.9L V6 Twin Turbo,Twin Turbocharged
1986,Ford,Ranger,Pickup Cab Chassis,2.9L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,6,2.9,16,21,18,,,,,,2.9L V6 Twin Turbo,Twin Turbocharged
1986,Ford,Ranger,Pickup Cab Chassis,2.9L V6 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,6,2.9,15,19,17,,,,,,2.9L V6 Twin Turbo,Twin Turbocharged
