Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1987,Volvo,740/760,740/760,"2.3L I4 ((FFS,TRBO))",Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.3,17,20,18,,,,,
1987,Volvo,740/760,740/760,2.3L I4 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.3,19,23,21,,,,,
1987,Volvo,740/760,740/760,2.3L I4 ((FFS)),Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.3,20,26,22,,,,,
1987,Volvo,740/760,740/760,"2.3L I4 ((FFS,TRBO))",Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.3,18,23,20,,,,,
1987,Volvo,740/760,740/760,2.8L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.8,15,20,17,,,,,
1987,Volvo,740/760,740/760,2.8L V6 ((VOLVO760) (FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.8,16,19,17,,,,,
1987,Volvo,740/760,Wagon,"2.3L I4 ((FFS,TRBO))",Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.3,17,20,18,,,,,
1987,Volvo,740/760,Wagon,2.3L I4 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.3,18,24,20,,,,,
1987,Volvo,740/760,Wagon,"2.3L I4 ((FFS,TRBO))",Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.3,18,23,20,,,,,
1987,Volvo,740/760,Wagon,2.3L I4 ((FFS)),Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.3,19,26,22,,,,,
