Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1989,Jeep,Comanche Pickup,2WD,2.5L I4,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.5,16,22,18,,,,,
1989,Jeep,Comanche Pickup,2WD,2.5L I4,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.5,19,23,21,,,,,
1989,Jeep,Comanche Pickup,2WD,2.5L I4,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.5,18,23,20,,,,,
1989,Jeep,Comanche Pickup,2WD,2.5L I4,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.5,18,22,20,,,,,
1989,Jeep,Comanche Pickup,2WD,2.5L I4,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.5,17,22,19,,,,,
1989,Jeep,Comanche Pickup,2WD,4.0L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.0,14,20,16,,,,,
1989,Jeep,Comanche Pickup,2WD,4.0L V6 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.0,15,21,17,,,,,
1989,Jeep,Comanche Pickup,4WD,2.5L I4,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.5,16,22,18,,,,,
1989,Jeep,Comanche Pickup,4WD,2.5L I4,Manual 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.5,19,22,20,,,,,
1989,Jeep,Comanche Pickup,4WD,2.5L I4,Manual 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.5,18,22,19,,,,,
1989,Jeep,Comanche Pickup,4WD,2.5L I4,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.5,18,22,19,,,,,
1989,Jeep,Comanche Pickup,4WD,2.5L I4,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,4,2.5,17,22,19,,,,,
1989,Jeep,Comanche Pickup,4WD,4.0L V6 ((FFS)),Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.0,14,18,15,,,,,
1989,Jeep,Comanche Pickup,4WD,4.0L V6 ((FFS)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.0,15,20,17,,,,,
