Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1989,Toyota,Corolla,Corolla,1.6L I4 ((FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.6,23,28,25,,,,,,1.6L I4,
1989,Toyota,Corolla,Corolla,1.6L I4 ((FFS)),Automatic 4-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.6,23,31,26,,,,,,1.6L I4,
1989,Toyota,Corolla,Corolla,1.6L I4 ((FFS)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.6,26,32,28,,,,,,1.6L I4,
1989,Toyota,Corolla,Corolla,1.6L I4 ((4A-FE) (FFS)),Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.6,21,26,23,,,,,,1.6L I4,
1989,Toyota,Corolla,Corolla,1.6L I4 ((4A-FE) (FFS)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.6,20,26,22,,,,,,1.6L I4,
1989,Toyota,Corolla,Corolla,1.6L I4 ((4A-GE) (FFS)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.6,23,28,25,,,,,,1.6L I4,
1989,Toyota,Corolla,All-Trac Wagon,1.6L I4 ((4A-FE) (FFS)),Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Small Station Wagons,4,1.6,21,26,23,,,,,,1.6L I4,
1989,Toyota,Corolla,All-Trac Wagon,1.6L I4 ((4A-FE) (FFS)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Small Station Wagons,4,1.6,20,26,22,,,,,,1.6L I4,
1989,Toyota,Corolla,Wagon,1.6L I4 ((FFS)),Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Small Station Wagons,4,1.6,23,28,25,,,,,,1.6L I4,
1989,Toyota,Corolla,Wagon,1.6L I4 ((FFS)),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Small Station Wagons,4,1.6,26,32,28,,,,,,1.6L I4,
