Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1990,Volvo,240,240,2.3L I4 ((EGR) (FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Compact Cars,4,2.3,17,21,19,,,,,,2.3L I4 Turbo,Turbocharged
1990,Volvo,240,240,2.3L I4 ((EGR) (FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Compact Cars,4,2.3,18,25,21,,,,,,2.3L I4 Turbo,Turbocharged
1990,Volvo,240,240,2.3L I4 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Compact Cars,4,2.3,17,23,19,,,,,,2.3L I4 Turbo,Turbocharged
1990,Volvo,240,240,2.3L I4 ((LH-3.1) (FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Compact Cars,4,2.3,19,26,21,,,,,,2.3L I4 Turbo,Turbocharged
1990,Volvo,240,Wagon,2.3L I4 ((BOSCH) (FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.3,17,23,19,,,,,,2.3L I4 Turbo,Turbocharged
1990,Volvo,240,Wagon,2.3L I4 ((EGR) (FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.3,17,21,19,,,,,,2.3L I4 Turbo,Turbocharged
1990,Volvo,240,Wagon,2.3L I4 ((EGR) (FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.3,18,24,20,,,,,,2.3L I4 Turbo,Turbocharged
1990,Volvo,240,Wagon,2.3L I4 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.3,19,25,21,,,,,,2.3L I4 Turbo,Turbocharged
1990,Volvo,240,240,2.3L I4 ((FFS) BOSCH),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Compact Cars,4,2.3,18,23,20,,,,,,2.3L I4 Turbo,Turbocharged
1990,Volvo,240,240,2.3L I4 ((FFS)),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Compact Cars,4,2.3,19,26,21,,,,,,2.3L I4 Turbo,Turbocharged
1990,Volvo,240,Wagon,2.3L I4 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.3,17,22,19,,,,,,2.3L I4 Turbo,Turbocharged
1990,Volvo,240,Wagon,2.3L I4 ((FFS) BOSCH),Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.3,18,25,21,,,,,,2.3L I4 Turbo,Turbocharged
