Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1992,Chevrolet,K2500 Pickup,4WD,4.3L V6 ((FFS) (SPFI)),Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.3,14,18,15,,,,,
1992,Chevrolet,K2500 Pickup,4WD,4.3L V6 ((FFS) (SPFI)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.3,14,17,15,,,,,
1992,Chevrolet,K2500 Pickup,4WD,4.3L V6 ((FFS) (SPFI)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,4.3,14,17,15,,,,,
1992,Chevrolet,K2500 Pickup,4WD,5.0L V8 ((FFS)),Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.0,12,17,14,,,,,
1992,Chevrolet,K2500 Pickup,4WD,5.0L V8 ((FFS)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.0,12,16,13,,,,,
1992,Chevrolet,K2500 Pickup,4WD,5.7L V8 ((350 V8) (FFS)),Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.7,11,16,13,,,,,
1992,Chevrolet,K2500 Pickup,4WD,5.7L V8 ((350 V8) (FFS)),Manual 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.7,11,14,12,,,,,
1992,Chevrolet,K2500 Pickup,4WD,5.7L V8 ((350 V8) (FFS)),Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.7,11,15,13,,,,,
1992,Chevrolet,K2500 Pickup,4WD,Diesel 6.2L V8 ((NO-CAT)) Diesel,Automatic 4-spd,All-Wheel Drive,Diesel,Standard Pickup Trucks,8,6.2,15,20,17,,,,,
1992,Chevrolet,K2500 Pickup,4WD,Diesel 6.2L V8 ((NO-CAT)) Diesel,Manual 5-spd,All-Wheel Drive,Diesel,Standard Pickup Trucks,8,6.2,17,21,18,,,,,
