Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
1992,Mercedes-Benz,300,SL,3.0L V6 ((GUZZLER) (FFS)),Automatic 5-spd,Rear-Wheel Drive,Premium Gasoline,Two Seaters,6,3.0,15,21,17,,,,,,3.0L V6 Turbo,Turbocharged
1992,Mercedes-Benz,300,SL,3.0L V6 ((GUZZLER) (FFS)),Manual 5-spd,Rear-Wheel Drive,Premium Gasoline,Two Seaters,6,3.0,15,21,17,,,,,,3.0L V6 Turbo,Turbocharged
1992,Mercedes-Benz,300,CE,3.0L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,15,21,17,,,,,,3.0L V6 Turbo,Turbocharged
1992,Mercedes-Benz,300,D 2.5 Turbo,"Diesel 2.5L V5 ((DSL,TRBO) (NO-CAT)) Diesel",Automatic 4-spd,Rear-Wheel Drive,Diesel,Compact Cars,5,2.5,23,29,25,,,,,,2.5L V5 Turbo,Turbocharged
1992,Mercedes-Benz,300,E,3.0L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,6,3.0,16,22,18,,,,,,3.0L V6 Turbo,Turbocharged
1992,Mercedes-Benz,300,E 2.6,2.6L V6 ((FFS)),Automatic 4-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,6,2.6,18,23,20,,,,,,2.6L V6 Turbo,Turbocharged
1992,Mercedes-Benz,300,E 4Matic,3.0L V6 ((GUZZLER) (FFS)),Automatic 4-spd,All-Wheel Drive,Premium Gasoline,Compact Cars,6,3.0,15,19,16,,,,,,3.0L V6 Turbo,Turbocharged
1992,Mercedes-Benz,300,SD,"Diesel 3.5L V6 ((DSL,TRBO) (NO-CAT)) Diesel",Automatic 4-spd,Rear-Wheel Drive,Diesel,Large Cars,6,3.5,18,22,19,,,,,,3.5L V6 Turbo,Turbocharged
1992,Mercedes-Benz,300,SE,3.2L V6 ((GUZZLER) (FFS)),Automatic 5-spd,Rear-Wheel Drive,Premium Gasoline,Large Cars,6,3.2,14,17,15,,,,,,3.2L V6 Turbo,Turbocharged
1992,Mercedes-Benz,300,TE,3.0L V6 ((GUZZLER) (FFS)),Automatic 4-spd,Rear-Wheel Drive,Premium Gasoline,Midsize-Large Station Wagons,6,3.0,15,20,17,,,,,,3.0L V6 Turbo,Turbocharged
1992,Mercedes-Benz,300,TE 4Matic,3.0L V6 ((GUZZLER) (FFS)),Automatic 4-spd,All-Wheel Drive,Premium Gasoline,Midsize-Large Station Wagons,6,3.0,15,18,16,,,,,,3.0L V6 Turbo,Turbocharged
