Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2003,Audi,A4,Cabriolet,1.8L I4,Automatic (variable gear ratios),Front-Wheel Drive,Premium Gasoline,Subcompact Cars,4,1.8,20,28,23,,,,,,1.8L I4 Turbo,Turbocharged
2003,Audi,A4,Cabriolet,3.0L V6,Automatic (variable gear ratios),Front-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,18,25,21,,,,,,3.0L V6 Turbo,Turbocharged
2003,Audi,A4,A4,1.8L I4,Automatic (variable gear ratios),Front-Wheel Drive,Premium Gasoline,Compact Cars,4,1.8,20,27,23,,,,,,1.8L I4 Turbo,Turbocharged
2003,Audi,A4,A4,1.8L I4,Manual 5-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,4,1.8,20,29,23,,,,,,1.8L I4 Turbo,Turbocharged
2003,Audi,A4,A4,3.0L V6,Automatic (variable gear ratios),Front-Wheel Drive,Premium Gasoline,Compact Cars,6,3.0,18,26,21,,,,,,3.0L V6 Turbo,Turbocharged
2003,Audi,A4,quattro,1.8L I4,Manual 5-spd,All-Wheel Drive,Premium Gasoline,Compact Cars,4,1.8,18,26,21,,,,,,1.8L I4 Turbo,Turbocharged
2003,Audi,A4,quattro,1.8L I4,Automatic (S5),All-Wheel Drive,Premium Gasoline,Compact Cars,4,1.8,18,26,21,,,,,,1.8L I4 Turbo,Turbocharged
2003,Audi,A4,quattro,3.0L V6,Manual 6-spd,All-Wheel Drive,Premium Gasoline,Compact Cars,6,3.0,16,23,18,,,,,,3.0L V6 Turbo,Turbocharged
2003,Audi,A4,quattro,3.0L V6,Automatic (S5),All-Wheel Drive,Premium Gasoline,Compact Cars,6,3.0,16,24,19,,,,,,3.0L V6 Turbo,Turbocharged
2003,Audi,A4,Avant quattro,1.8L I4,Manual 5-spd,All-Wheel Drive,Premium Gasoline,Small Station Wagons,4,1.8,18,26,21,,,,,,1.8L I4 Turbo,Turbocharged
2003,Audi,A4,Avant quattro,1.8L I4,Automatic (S5),All-Wheel Drive,Premium Gasoline,Small Station Wagons,4,1.8,18,26,21,,,,,,1.8L I4 Turbo,Turbocharged
2003,Audi,A4,Avant quattro,3.0L V6,Manual 6-spd,All-Wheel Drive,Premium Gasoline,Small Station Wagons,6,3.0,16,23,18,,,,,,3.0L V6 Turbo,Turbocharged
2003,Audi,A4,Avant quattro,3.0L V6,Automatic (S5),All-Wheel Drive,Premium Gasoline,Small Station Wagons,6,3.0,16,24,19,,,,,,3.0L V6 Turbo,Turbocharged
