Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2003,Nissan,Frontier,2WD,2.4L I4,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,4,2.4,17,22,19,,,,,,2.4L I4,
2003,Nissan,Frontier,2WD,2.4L I4,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,4,2.4,20,23,21,,,,,,2.4L I4,
2003,Nissan,Frontier,V6 2WD,3.3L V6,Automatic 4-spd,Rear-Wheel Drive,Premium Gasoline,Standard Pickup Trucks 2WD,6,3.3,14,17,15,,,,,,3.3L V6,
2003,Nissan,Frontier,V6 2WD,3.3L V6,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,6,3.3,15,19,16,,,,,,3.3L V6,
2003,Nissan,Frontier,V6 2WD,3.3L V6,Manual 5-spd,Rear-Wheel Drive,Premium Gasoline,Standard Pickup Trucks 2WD,6,3.3,14,18,15,,,,,,3.3L V6,
2003,Nissan,Frontier,V6 2WD,3.3L V6,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,6,3.3,15,19,17,,,,,,3.3L V6,
2003,Nissan,Frontier,V6 4WD,3.3L V6,Automatic 4-spd,All-Wheel Drive,Premium Gasoline,Standard Pickup Trucks 4WD,6,3.3,14,17,15,,,,,,3.3L V6,
2003,Nissan,Frontier,V6 4WD,3.3L V6,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,6,3.3,14,19,16,,,,,,3.3L V6,
2003,Nissan,Frontier,V6 4WD,3.3L V6,Manual 5-spd,All-Wheel Drive,Premium Gasoline,Standard Pickup Trucks 4WD,6,3.3,13,16,14,,,,,,3.3L V6,
2003,Nissan,Frontier,V6 4WD,3.3L V6,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,6,3.3,15,19,17,,,,,,3.3L V6,
