Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2004,GMC,Canyon,2WD,2.8L I4,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,4,2.8,16,23,18,,,,,,2.8L I4 Turbo,Turbocharged
2004,GMC,Canyon,2WD,2.8L I4,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,4,2.8,18,24,21,,,,,,2.8L I4 Turbo,Turbocharged
2004,GMC,Canyon,2WD,3.5L V5,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,5,3.5,16,22,18,,,,,,3.5L V5,
2004,GMC,Canyon,2WD,3.5L V5,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,5,3.5,17,23,19,,,,,,3.5L V5,
2004,GMC,Canyon,Crew Cab 2WD,2.8L I4,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,4,2.8,16,23,18,,,,,,2.8L I4 Turbo,Turbocharged
2004,GMC,Canyon,Crew Cab 2WD,2.8L I4,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,4,2.8,18,24,20,,,,,,2.8L I4 Turbo,Turbocharged
2004,GMC,Canyon,Crew Cab 2WD,3.5L V5,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,5,3.5,16,22,18,,,,,,3.5L V5,
2004,GMC,Canyon,4WD,2.8L I4,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,4,2.8,16,21,18,,,,,,2.8L I4 Turbo,Turbocharged
2004,GMC,Canyon,4WD,2.8L I4,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,4,2.8,17,22,19,,,,,,2.8L I4 Turbo,Turbocharged
2004,GMC,Canyon,4WD,3.5L V5,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,5,3.5,16,21,18,,,,,,3.5L V5,
2004,GMC,Canyon,4WD,3.5L V5,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,5,3.5,16,21,18,,,,,,3.5L V5,
2004,GMC,Canyon,Crew Cab 4WD,2.8L I4,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,4,2.8,16,21,18,,,,,,2.8L I4 Turbo,Turbocharged
2004,GMC,Canyon,Crew Cab 4WD,2.8L I4,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,4,2.8,17,22,19,,,,,,2.8L I4 Turbo,Turbocharged
2004,GMC,Canyon,Crew Cab 4WD,3.5L V5,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,5,3.5,15,21,17,,,,,,3.5L V5,
