Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2005,Mercedes-Benz,C-Class,C230 Kompressor,1.8L I4,Automatic 5-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,4,1.8,21,29,24,,,,,,1.8L I4 Turbo,Turbocharged
2005,Mercedes-Benz,C-Class,C230 Kompressor,1.8L I4,Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,4,1.8,20,29,23,,,,,,1.8L I4 Turbo,Turbocharged
2005,Mercedes-Benz,C-Class,C230 Kompressor Sports Coupe,1.8L I4,Automatic 5-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,4,1.8,21,29,24,,,,,,1.8L I4 Turbo,Turbocharged
2005,Mercedes-Benz,C-Class,C230 Kompressor Sports Coupe,1.8L I4,Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,4,1.8,21,28,23,,,,,,1.8L I4 Turbo,Turbocharged
2005,Mercedes-Benz,C-Class,C240 4matic,2.6L V6,Automatic 5-spd,All-Wheel Drive,Premium Gasoline,Compact Cars,6,2.6,17,23,19,,,,,,2.6L V6 Turbo,Turbocharged
2005,Mercedes-Benz,C-Class,C320,3.2L V6,Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,6,3.2,17,24,19,,,,,,3.2L V6 Turbo,Turbocharged
2005,Mercedes-Benz,C-Class,C320 4matic,3.2L V6,Automatic 5-spd,All-Wheel Drive,Premium Gasoline,Compact Cars,6,3.2,17,24,20,,,,,,3.2L V6 Turbo,Turbocharged
2005,Mercedes-Benz,C-Class,C320 Sports Coupe,3.2L V6,Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,6,3.2,16,22,18,,,,,,3.2L V6 Turbo,Turbocharged
2005,Mercedes-Benz,C-Class,C55 AMG,5.4L V8,Automatic (S5),Rear-Wheel Drive,Premium Gasoline,Compact Cars,8,5.4,14,20,16,,,,,,5.4L V8 Turbo,Turbocharged
2005,Mercedes-Benz,C-Class,C240 4matic (Wagon),2.6L V6,Automatic 5-spd,All-Wheel Drive,Premium Gasoline,Small Station Wagons,6,2.6,17,22,19,,,,,,2.6L V6 Turbo,Turbocharged
2005,Mercedes-Benz,C-Class,C240 FFV,FFV 2.6L V6,Automatic 5-spd,Rear-Wheel Drive,Premium Gasoline / E85,Compact Cars,6,2.6,17,23,20,,,,,,2.6L V6 Turbo,Turbocharged
2005,Mercedes-Benz,C-Class,C320 FFV,FFV 3.2L V6,Automatic 5-spd,Rear-Wheel Drive,Premium Gasoline / E85,Compact Cars,6,3.2,18,24,20,,,,,,3.2L V6 Turbo,Turbocharged
2005,Mercedes-Benz,C-Class,C320 Sports Coupe FFV,FFV 3.2L V6,Automatic 5-spd,Rear-Wheel Drive,Premium Gasoline / E85,Compact Cars,6,3.2,17,22,19,,,,,,3.2L V6 Turbo,Turbocharged
2005,Mercedes-Benz,C-Class,C240 FFV (Wagon),FFV 2.6L V6,Automatic 5-spd,Rear-Wheel Drive,Premium Gasoline / E85,Small Station Wagons,6,2.6,17,23,20,,,,,,2.6L V6 Turbo,Turbocharged
