Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2013,BMW,3 Series,335i Coupe,3.0L V6 (SIDI),Automatic (S6),Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,18,27,21,,,,,
2013,BMW,3 Series,335i Coupe,3.0L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,19,27,22,,,,,
2013,BMW,3 Series,335i Coupe xDrive,3.0L V6 (SIDI),Automatic (S6),All-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,18,26,21,,,,,
2013,BMW,3 Series,335i Coupe xDrive,3.0L V6 (SIDI),Manual 6-spd,All-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,20,28,23,,,,,
2013,BMW,3 Series,335is Convertible,3.0L V6 (SIDI),Automatic (AM-S7),Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,17,23,19,,,,,
2013,BMW,3 Series,335is Convertible,3.0L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,18,26,21,,,,,
2013,BMW,3 Series,335i Convertible,3.0L V6 (SIDI),Automatic (S6),Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,18,27,21,,,,,
2013,BMW,3 Series,335i Convertible,3.0L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,19,27,22,,,,,
2013,BMW,3 Series,328i,2.0L I4 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,23,33,26,,,,,
2013,BMW,3 Series,328i,2.0L I4 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,22,33,26,,,,,
2013,BMW,3 Series,328i xDrive,2.0L I4 (SIDI),Automatic (S8),All-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,22,32,26,,,,,
2013,BMW,3 Series,335i,3.0L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,6,3.0,20,29,23,,,,,
2013,BMW,3 Series,335i xDrive,3.0L V6 (SIDI),Automatic (S8),All-Wheel Drive,Premium Gasoline,Compact Cars,6,3.0,20,30,24,,,,,
2013,BMW,3 Series,335i xDrive,3.0L V6 (SIDI),Manual 6-spd,All-Wheel Drive,Premium Gasoline,Compact Cars,6,3.0,20,28,23,,,,,
2013,BMW,3 Series,335is Coupe,3.0L V6 (SIDI),Automatic (AM-S7),Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,17,23,19,,,,,
2013,BMW,3 Series,335is Coupe,3.0L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,18,26,21,,,,,
2013,BMW,3 Series,328i Coupe xDrive,3.0L V6,Automatic (S6),All-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,17,25,20,,,,,
2013,BMW,3 Series,328i Coupe xDrive,3.0L V6,Manual 6-spd,All-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,16,25,19,,,,,
2013,BMW,3 Series,328i Convertible,3.0L V6,Automatic (S6),Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,18,26,21,,,,,
2013,BMW,3 Series,328i Convertible,3.0L V6,Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,17,26,20,,,,,
2013,BMW,3 Series,328i Coupe,3.0L V6,Automatic (S6),Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,18,28,21,,,,,
2013,BMW,3 Series,328i Coupe,3.0L V6,Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Subcompact Cars,6,3.0,19,28,22,,,,,
2013,BMW,3 Series,335i,3.0L V6 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Compact Cars,6,3.0,23,32,26,,,,,
2013,BMW,3 Series,ActiveHybrid 3,Hybrid 3.0L V6 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Compact Cars,6,3.0,25,32,28,,,,,
2013,BMW,3 Series,320i,2.0L I4 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,23,35,27,,,,,
2013,BMW,3 Series,320i xDrive,2.0L I4 (SIDI),Automatic (S8),All-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,23,34,27,,,,,
2013,BMW,3 Series,320i,2.0L I4 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,23,35,28,,,,,
2013,BMW,3 Series,320i xDrive,2.0L I4 (SIDI),Manual 6-spd,All-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,22,33,26,,,,,
