Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2013,Porsche,911,Carrera,3.4L V6 (SIDI),Manual 7-spd,Rear-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.4,19,27,22,,,,,,3.4L V6 Turbo,Turbocharged
2013,Porsche,911,Carrera,3.4L V6 (SIDI),Automatic (AM-S7),Rear-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.4,20,28,23,,,,,,3.4L V6 Turbo,Turbocharged
2013,Porsche,911,Carrera Cabriolet,3.4L V6 (SIDI),Manual 7-spd,Rear-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.4,19,27,22,,,,,,3.4L V6 Turbo,Turbocharged
2013,Porsche,911,Carrera Cabriolet,3.4L V6 (SIDI),Automatic (AM-S7),Rear-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.4,20,28,23,,,,,,3.4L V6 Turbo,Turbocharged
2013,Porsche,911,Carrera S,3.8L V6 (SIDI),Manual 7-spd,Rear-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.8,19,27,22,,,,,,3.8L V6 Turbo,Turbocharged
2013,Porsche,911,Carrera S,3.8L V6 (SIDI),Automatic (AM-S7),Rear-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.8,19,27,22,,,,,,3.8L V6 Turbo,Turbocharged
2013,Porsche,911,Carrera S Cabriolet,3.8L V6 (SIDI),Manual 7-spd,Rear-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.8,19,26,21,,,,,,3.8L V6 Turbo,Turbocharged
2013,Porsche,911,Carrera S Cabriolet,3.8L V6 (SIDI),Automatic (AM-S7),Rear-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.8,19,27,22,,,,,,3.8L V6 Turbo,Turbocharged
2013,Porsche,911,Carrera 4,3.4L V6 (SIDI),Manual 7-spd,Four-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.4,19,27,22,,,,,,3.4L V6 Turbo,Turbocharged
2013,Porsche,911,Carrera 4,3.4L V6 (SIDI),Automatic (AM-S7),Four-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.4,20,27,23,,,,,,3.4L V6 Turbo,Turbocharged
2013,Porsche,911,Carrera 4 Cabriolet,3.4L V6 (SIDI),Manual 7-spd,Four-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.4,19,26,21,,,,,,3.4L V6 Turbo,Turbocharged
2013,Porsche,911,Carrera 4 Cabriolet,3.4L V6 (SIDI),Automatic (AM-S7),Four-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.4,20,27,22,,,,,,3.4L V6 Turbo,Turbocharged
2013,Porsche,911,Carrera 4S,3.8L V6 (SIDI),Manual 7-spd,Four-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.8,18,26,21,,,,,,3.8L V6 Turbo,Turbocharged
2013,Porsche,911,Carrera 4S,3.8L V6 (SIDI),Automatic (AM-S7),Four-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.8,19,26,22,,,,,,3.8L V6 Turbo,Turbocharged
2013,Porsche,911,Carrera 4S Cabriolet,3.8L V6 (SIDI),Manual 7-spd,Four-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.8,18,26,21,,,,,,3.8L V6 Turbo,Turbocharged
2013,Porsche,911,Carrera 4S Cabriolet,3.8L V6 (SIDI),Automatic (AM-S7),Four-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.8,19,26,21,,,,,,3.8L V6 Turbo,Turbocharged
2013,Porsche,911,Turbo,3.8L V6 (SIDI),Automatic 7-spd,Rear-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.8,17,24,19,,,,,,3.8L V6 Twin Turbo,Twin Turbocharged
2013,Porsche,911,Turbo Cabriolet,3.8L V6 (SIDI),Automatic 7-spd,Rear-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.8,16,24,19,,,,,,3.8L V6 Twin Turbo,Twin Turbocharged
2013,Porsche,911,Turbo S,3.8L V6 (SIDI),Automatic 7-spd,Rear-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.8,17,24,19,,,,,,3.8L V6 Twin Turbo,Twin Turbocharged
2013,Porsche,911,Turbo S Cabriolet,3.8L V6 (SIDI),Automatic 7-spd,Rear-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.8,16,24,19,,,,,,3.8L V6 Twin Turbo,Twin Turbocharged
2013,Porsche,911,Turbo,3.8L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.8,16,24,19,,,,,,3.8L V6 Twin Turbo,Twin Turbocharged
2013,Porsche,911,Turbo Cabriolet,3.8L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Minicompact Cars,6,3.8,16,24,19,,,,,,3.8L V6 Twin Turbo,Twin Turbocharged
