Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2014,Volkswagen,Beetle,Convertible,Diesel 2.0L I4 Diesel,Automatic (AM-S6),Front-Wheel Drive,Diesel,Subcompact Cars,4,2.0,27,38,31,,,,,
2014,Volkswagen,Beetle,Convertible,Diesel 2.0L I4 Diesel,Manual 6-spd,Front-Wheel Drive,Diesel,Subcompact Cars,4,2.0,27,39,30,,,,,
2014,Volkswagen,Beetle,Beetle,Diesel 2.0L I4 Diesel,Automatic (AM-S6),Front-Wheel Drive,Diesel,Compact Cars,4,2.0,28,40,32,,,,,
2014,Volkswagen,Beetle,Beetle,Diesel 2.0L I4 Diesel,Manual 6-spd,Front-Wheel Drive,Diesel,Compact Cars,4,2.0,27,39,30,,,,,
2014,Volkswagen,Beetle,Convertible,2.0L I4 (SIDI),Automatic (AM-S6),Front-Wheel Drive,Premium Gasoline,Subcompact Cars,4,2.0,23,29,25,,,,,
2014,Volkswagen,Beetle,Beetle,2.0L I4 (SIDI),Automatic (AM-S6),Front-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,24,30,26,,,,,
2014,Volkswagen,Beetle,Convertible,2.5L V5,Automatic (S6),Front-Wheel Drive,Regular Gasoline,Subcompact Cars,5,2.5,21,27,23,,,,,
2014,Volkswagen,Beetle,Beetle,2.5L V5,Automatic (S6),Front-Wheel Drive,Regular Gasoline,Compact Cars,5,2.5,22,29,25,,,,,
2014,Volkswagen,Beetle,Beetle,2.5L V5,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,5,2.5,22,31,25,,,,,
2014,Volkswagen,Beetle,Convertible,2.0L I4 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Subcompact Cars,4,2.0,23,31,26,,,,,
2014,Volkswagen,Beetle,Beetle,2.0L I4 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,23,31,26,,,,,
2014,Volkswagen,Beetle,Convertible,1.8L I4 (SIDI),Automatic (S6),Front-Wheel Drive,Regular Gasoline,Subcompact Cars,4,1.8,24,32,27,,,,,
2014,Volkswagen,Beetle,Beetle,1.8L I4 (SIDI),Automatic (S6),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,1.8,25,32,27,,,,,
2014,Volkswagen,Beetle,Beetle,1.8L I4 (SIDI),Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,1.8,24,32,27,,,,,
