Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2015,MINI,Cooper,Coupe,1.6L I4,Automatic (S6),Front-Wheel Drive,Premium Gasoline,Two Seaters,4,1.6,27,35,30,,,,,
2015,MINI,Cooper,S Coupe,1.6L I4 (SIDI),Automatic (S6),Front-Wheel Drive,Premium Gasoline,Two Seaters,4,1.6,25,33,28,,,,,
2015,MINI,Cooper,Convertible,1.6L I4,Automatic (S6),Front-Wheel Drive,Premium Gasoline,Minicompact Cars,4,1.6,26,33,29,,,,,
2015,MINI,Cooper,S Convertible,1.6L I4 (SIDI),Automatic (S6),Front-Wheel Drive,Premium Gasoline,Minicompact Cars,4,1.6,25,33,28,,,,,
2015,MINI,Cooper,S Convertible,1.6L I4 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Minicompact Cars,4,1.6,26,34,29,,,,,
2015,MINI,Cooper,Coupe,1.6L I4,Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Two Seaters,4,1.6,29,36,32,,,,,
2015,MINI,Cooper,S Coupe,1.6L I4 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Two Seaters,4,1.6,26,34,29,,,,,
2015,MINI,Cooper,Convertible,1.6L I4,Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Minicompact Cars,4,1.6,27,33,29,,,,,
2015,MINI,Cooper,(3-doors),1.5L I3 (SIDI),Automatic (S6),Front-Wheel Drive,Premium Gasoline,Subcompact Cars,3,1.5,27,36,31,,,,,
2015,MINI,Cooper,(3-doors),1.5L I3 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Subcompact Cars,3,1.5,29,38,32,,,,,
2015,MINI,Cooper,(5-doors),1.5L I3 (SIDI),Automatic (S6),Front-Wheel Drive,Premium Gasoline,Subcompact Cars,3,1.5,27,36,31,,,,,
2015,MINI,Cooper,(5-doors),1.5L I3 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Subcompact Cars,3,1.5,28,38,32,,,,,
2015,MINI,Cooper,S (3-doors),2.0L I4 (SIDI),Automatic (S6),Front-Wheel Drive,Premium Gasoline,Subcompact Cars,4,2.0,25,33,28,,,,,
2015,MINI,Cooper,S (3-doors),2.0L I4 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Subcompact Cars,4,2.0,24,33,27,,,,,
2015,MINI,Cooper,S (5-doors),2.0L I4 (SIDI),Automatic (S6),Front-Wheel Drive,Premium Gasoline,Subcompact Cars,4,2.0,25,33,28,,,,,
2015,MINI,Cooper,S (5-doors),2.0L I4 (SIDI),Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Subcompact Cars,4,2.0,24,33,27,,,,,
