Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2017,Jaguar,F-Type,R AWD Coupe,5.0L V8 (SIDI),Automatic (S8),All-Wheel Drive,Premium Gasoline,Two Seaters,8,5.0,15,23,18,,,,,,5.0L V8 Supercharged,Supercharged
2017,Jaguar,F-Type,R AWD Convertible,5.0L V8 (SIDI),Automatic (S8),All-Wheel Drive,Premium Gasoline,Two Seaters,8,5.0,15,23,18,,,,,,5.0L V8 Supercharged,Supercharged
2017,Jaguar,F-Type,Coupe,3.0L V6 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Two Seaters,6,3.0,20,28,23,,,,,,3.0L V6 Turbo,Turbocharged
2017,Jaguar,F-Type,Convertible,3.0L V6 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Two Seaters,6,3.0,20,28,23,,,,,,3.0L V6 Turbo,Turbocharged
2017,Jaguar,F-Type,S Coupe,3.0L V6 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Two Seaters,6,3.0,19,27,22,,,,,,3.0L V6 Turbo,Turbocharged
2017,Jaguar,F-Type,S Convertible,3.0L V6 (SIDI),Automatic (S8),Rear-Wheel Drive,Premium Gasoline,Two Seaters,6,3.0,19,27,22,,,,,,3.0L V6 Turbo,Turbocharged
2017,Jaguar,F-Type,S AWD Coupe,3.0L V6 (SIDI),Automatic (S8),All-Wheel Drive,Premium Gasoline,Two Seaters,6,3.0,18,26,21,,,,,,3.0L V6 Turbo,Turbocharged
2017,Jaguar,F-Type,S AWD Convertible,3.0L V6 (SIDI),Automatic (S8),All-Wheel Drive,Premium Gasoline,Two Seaters,6,3.0,18,26,21,,,,,,3.0L V6 Turbo,Turbocharged
2017,Jaguar,F-Type,Coupe,3.0L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Two Seaters,6,3.0,16,24,19,,,,,,3.0L V6 Turbo,Turbocharged
2017,Jaguar,F-Type,Convertible,3.0L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Two Seaters,6,3.0,16,24,19,,,,,,3.0L V6 Turbo,Turbocharged
2017,Jaguar,F-Type,S Coupe,3.0L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Two Seaters,6,3.0,15,24,18,,,,,,3.0L V6 Turbo,Turbocharged
2017,Jaguar,F-Type,S Convertible,3.0L V6 (SIDI),Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Two Seaters,6,3.0,15,24,18,,,,,,3.0L V6 Turbo,Turbocharged
