Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2021,Chevrolet,Silverado,2WD,5.3L V8 (SIDI; Active Fuel Management),Automatic 6-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,5.3,15,21,17,,,,,,5.3L V8,
2021,Chevrolet,Silverado,2WD,FFV 5.3L V8 (SIDI; FFV),Automatic 6-spd,Rear-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 2WD,8,5.3,15,19,16,,,,,,5.3L V8,
2021,Chevrolet,Silverado,2WD,5.3L V8 (SIDI),Automatic 8-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,5.3,17,23,19,,,,,,5.3L V8,
2021,Chevrolet,Silverado,2WD,Diesel 3.0L V6 Diesel,Automatic 10-spd,Rear-Wheel Drive,Diesel,Standard Pickup Trucks 2WD,6,3.0,23,33,27,,,,,,3.0L V6 Turbo,Turbocharged
2021,Chevrolet,Silverado,4WD,6.2L V8 (SIDI; Stop-Start),Automatic 10-spd,Four-Wheel Drive,Premium Gasoline,Standard Pickup Trucks 4WD,8,6.2,16,21,18,,,,,,6.2L V8,
2021,Chevrolet,Silverado,4WD TrailBoss,5.3L V8 (SIDI),Automatic 6-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.3,14,18,16,,,,,,5.3L V8,
2021,Chevrolet,Silverado,4WD,FFV 5.3L V8 (SIDI; FFV),Automatic 6-spd,Four-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 4WD,8,5.3,14,18,16,,,,,,5.3L V8,
2021,Chevrolet,Silverado,4WD,5.3L V8 (SIDI; with Cylinder Deactivation),Automatic 8-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.3,16,22,18,,,,,,5.3L V8,
2021,Chevrolet,Silverado,4WD,Diesel 3.0L V6 Diesel,Automatic 10-spd,Four-Wheel Drive,Diesel,Standard Pickup Trucks 4WD,6,3.0,22,26,24,,,,,,3.0L V6 Turbo,Turbocharged
2021,Chevrolet,Silverado,4WD,5.3L V8 (SIDI; Stop-Start),Automatic 10-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.3,16,22,19,,,,,,5.3L V8,
2021,Chevrolet,Silverado,4WD TrailBoss,5.3L V8 (SIDI; Stop-Start),Automatic 10-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.3,16,21,18,,,,,,5.3L V8,
2021,Chevrolet,Silverado,4WD TrailBoss,4.3L V6 (SIDI),Automatic 6-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,6,4.3,14,18,16,,,,,,4.3L V6,
2021,Chevrolet,Silverado,4WD,4.3L V6 (SIDI),Automatic 6-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,6,4.3,15,20,17,,,,,,4.3L V6,
2021,Chevrolet,Silverado,Cab Chassis 4WD,5.3L V8 (SIDI),Automatic 6-spd,Four-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 4WD,8,5.3,14,17,15,,,,,,5.3L V8,
