Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails,engineDisplay,forcedInduction
2022,Ram,1500,2WD,Diesel 3.0L V6 Diesel,Automatic 8-spd,Rear-Wheel Drive,Diesel,Standard Pickup Trucks 2WD,6,3.0,22,32,26,,,,,,3.0L V6 Turbo,Turbocharged
2022,Ram,1500,2WD,Hybrid 3.6L V6 (Mild Hybrid),Automatic 8-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,6,3.6,20,25,22,,,,,,3.6L V6,
2022,Ram,1500,2WD,Hybrid 5.7L V8 (Mild Hybrid) Midgrade Gasoline,Automatic 8-spd,Rear-Wheel Drive,Midgrade Gasoline,Standard Pickup Trucks 2WD,8,5.7,18,23,20,,,,,,5.7L V8,
2022,Ram,1500,2WD,5.7L V8 Midgrade Gasoline,Automatic 8-spd,Rear-Wheel Drive,Midgrade Gasoline,Standard Pickup Trucks 2WD,8,5.7,15,22,17,,,,,,5.7L V8,
2022,Ram,1500,HFE 2WD,Diesel 3.0L V6 Diesel,Automatic 8-spd,Rear-Wheel Drive,Diesel,Standard Pickup Trucks 2WD,6,3.0,23,33,26,,,,,,3.0L V6 Turbo,Turbocharged
2022,Ram,1500,HFE 2WD,Hybrid 3.6L V6 (Mild Hybrid),Automatic 8-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,6,3.6,20,26,23,,,,,,3.6L V6,
2022,Ram,1500,4WD,Diesel 3.0L V6 Diesel,Automatic 8-spd,Four-Wheel Drive,Diesel,Standard Pickup Trucks 4WD,6,3.0,21,29,24,,,,,,3.0L V6 Turbo,Turbocharged
2022,Ram,1500,4WD,Hybrid 3.6L V6 (Mild Hybrid),Automatic 8-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,6,3.6,19,24,21,,,,,,3.6L V6,
2022,Ram,1500,4WD,Hybrid 5.7L V8 (Mild Hybrid) Midgrade Gasoline,Automatic 8-spd,Four-Wheel Drive,Midgrade Gasoline,Standard Pickup Trucks 4WD,8,5.7,18,22,19,,,,,,5.7L V8,
2022,Ram,1500,4WD,5.7L V8 Midgrade Gasoline,Automatic 8-spd,Four-Wheel Drive,Midgrade Gasoline,Standard Pickup Trucks 4WD,8,5.7,15,21,17,,,,,,5.7L V8,
2022,Ram,1500,TRX 4WD,6.2L V8,Automatic 8-spd,Four-Wheel Drive,Premium Gasoline,Standard Pickup Trucks 4WD,8,6.2,10,14,12,,,,,,6.2L V8 Supercharged,Supercharged
2022,Ram,1500,Classic 2WD,3.6L V6,Automatic 8-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,6,3.6,17,25,20,,,,,,3.6L V6,
2022,Ram,1500,Classic 2WD,5.7L V8 Midgrade Gasoline,Automatic 8-spd,Rear-Wheel Drive,Midgrade Gasoline,Standard Pickup Trucks 2WD,8,5.7,15,21,17,,,,,,5.7L V8,
2022,Ram,1500,Classic 4WD,3.6L V6,Automatic 8-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,6,3.6,16,23,19,,,,,,3.6L V6,
2022,Ram,1500,Classic 4WD,5.7L V8 Midgrade Gasoline,Automatic 8-spd,Four-Wheel Drive,Midgrade Gasoline,Standard Pickup Trucks 4WD,8,5.7,15,21,17,,,,,,5.7L V8,
