Year,Make,Model,Trim,engineOptions,transmissionOptions,drivetrainOptions,exteriorColors,Packages,packageDetails,Options,optionDetails
2024,Land Rover,Range Rover Velar,"Wheelbase 2,874 mm (113.1 in)","Layout Front-engine, four-wheel-drive",Transmission 8-speed ZF 8HP automatic,Hybrid drivetrain,"In April 2023, JLR confirmed the second-generation Range Rover Velar would only be offered with a battery electric powertrain. Based on JLR's new Electrified Modular Architecture (EMA) platform, production is set to commence at JLR's Halewood plant in 2027.","However, the Range Rover is 72 mm (2.8 in) longer than the F-Pace. Towing c","However, the Range Rover is 72 mm (2.8 in) longer than the F-Pace. Towing capacity Towing capacity for the Velar is 2,500 kg (5,500 lb), significantly less than a standard Range Rover.",,
,,,Compact SUV Freelander Freelander 2 Discovery Sport,L P400 MHEV turbo I6,"L turbo-diesel I4 (D200) 09/2020– 1,999 cc (122 cu in) 204 PS (150 kW; 201 hp) at 3,750 430 N⋅m (317 lb⋅ft) at 1,750 - 2,500 8-speed automatic",,,,,,
,,,Range Rover Classic Range Rover Sport Range Rover Sport Range Rover Sport,L AJ126 SC V6,"L Twin-Turbo diesel I4 (D240) 09/2017–09/2020 1,999 cc (122 cu in) 240 PS (177 kW; 237 hp) at 4,000 500 N⋅m (369 lb⋅ft) at 1,500 8-speed automatic",,,,,,
,,,,L AJ133 SC V8,"L Twin-Turbo diesel V6 (D275) 04/2018–09/2020 2,993 cc (183 cu in) 275 PS (202 kW; 271 hp) at 4,000 625 N⋅m (461 lb⋅ft) at 1,500–1,750 8-speed automatic",,,,,,
,,,,Petrol plug-in hybrid:,"L Twin-Turbo diesel V6 (D300) 09/2017–09/2020 2,993 cc (183 cu in) 300 PS (221 kW; 296 hp) at 4,000 700 N⋅m (516 lb⋅ft) at 1,500–1,750 8-speed automatic",,,,,,
,,,,Diesel:,"L turbo-diesel I6 (D300) 09/2020- 2,996 cc (183 cu in) 650 N⋅m (479 lb⋅ft) at 1,500–2,500 8-speed automatic",,,,,,
,,,,L Ingenium twin-turbo I4,"L turbocharged I4 (P250) 09/2017–09/2020 1,999 cc (122 cu in) 250 PS (184 kW; 247 hp) at 5,500 365 N⋅m (269 lb⋅ft) at 1,200–4,500 8-speed automatic",,,,,,
,,,,L Ingenium MHEV turbo I4,"L supercharged V6 (P340) 06/2018– 2,995 cc (183 cu in) 340 PS (250 kW; 335 hp) at 6,500 450 N⋅m (332 lb⋅ft) at 3,500–5,000 8-speed automatic",,,,,,
,,,,L AJD twin-turbo V6,"L supercharged V8 (SVAutobiography Dynamic) 02/2019–09/2020 4,999 cc (305 cu in) 550 PS (405 kW; 542 hp) at 6,500 680 N⋅m (502 lb⋅ft) at 3,500 8-speed automatic",,,,,,
,,,,L Ingenium turbo I6,,,,,,,
,,,,Electric motor,,,,,,,
,,,,V electric supercharger (MHEV),,,,,,,
,,,,kW (144 PS; 142 hp) Permanent Magnet Synchronous Motor (PHEV),,,,,,,
