Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1984,Audi,5000,S,2.1L V5 ((FFS)),2.1L V5 Turbo,Turbocharged,Automatic 3-spd,,Regular Gasoline,Midsize Cars,5,2.1,15,20,17,,,,,
1984,Audi,5000,S,"2.1L V5 ((FFS,TRBO))",2.1L V5 Turbo,Turbocharged,Automatic 3-spd,,Regular Gasoline,Midsize Cars,5,2.1,15,20,17,,,,,
1984,Audi,5000,S,2.1L V5 ((FFS)),2.1L V5 Turbo,Turbocharged,Manual 5-spd,,Regular Gasoline,Midsize Cars,5,2.1,17,23,19,,,,,
1984,Audi,5000,S Wagon,2.1L V5 ((FFS)),2.1L V5 Turbo,Turbocharged,Automatic 3-spd,,Regular Gasoline,Midsize Station Wagons,5,2.1,15,20,17,,,,,
1984,Audi,5000,S Wagon,2.1L V5 ((FFS)),2.1L V5 Turbo,Turbocharged,Manual 5-spd,,Regular Gasoline,Midsize Station Wagons,5,2.1,16,23,19,,,,,
1984,Audi,5000,S,"2.1L V5 ((FFS,TRBO) CA model)",2.1L V5 Turbo,Turbocharged,Automatic 3-spd,,Regular Gasoline,Midsize Cars,5,2.1,15,19,17,,,,,
1984,Audi,5000,S,2.1L V5 ((FFS) CA model),2.1L V5 Turbo,Turbocharged,Automatic 3-spd,,Regular Gasoline,Midsize Cars,5,2.1,16,21,18,,,,,
1984,Audi,5000,S,2.1L V5 ((FFS) CA model),2.1L V5 Turbo,Turbocharged,Manual 5-spd,,Regular Gasoline,Midsize Cars,5,2.1,17,24,19,,,,,
1984,Audi,5000,S Wagon,2.1L V5 ((FFS) CA model),2.1L V5 Turbo,Turbocharged,Automatic 3-spd,,Regular Gasoline,Midsize Station Wagons,5,2.1,16,21,18,,,,,
1984,Audi,5000,S Wagon,2.1L V5 ((FFS) CA model),2.1L V5 Turbo,Turbocharged,Manual 5-spd,,Regular Gasoline,Midsize Station Wagons,5,2.1,16,24,19,,,,,
