Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2010,Cadillac,CTS,CTS,3.6L V6,3.6L V6,,Manual 6-spd,Rear-Wheel Drive,Regular Gasoline,Midsize Cars,6,3.6,16,25,19,,,,,
2010,Cadillac,CTS,CTS,3.6L V6,3.6L V6,,Automatic (S6),Rear-Wheel Drive,Regular Gasoline,Midsize Cars,6,3.6,18,27,21,,,,,
2010,Cadillac,CTS,AWD,3.6L V6,3.6L V6,,Automatic (S6),All-Wheel Drive,Regular Gasoline,Midsize Cars,6,3.6,18,27,21,,,,,
2010,Cadillac,CTS,Wagon,3.6L V6,3.6L V6,,Automatic (S6),Rear-Wheel Drive,Regular Gasoline,Small Station Wagons,6,3.6,18,26,21,,,,,
2010,Cadillac,CTS,Wagon AWD,3.6L V6,3.6L V6,,Automatic (S6),All-Wheel Drive,Regular Gasoline,Small Station Wagons,6,3.6,18,26,21,,,,,
2010,Cadillac,CTS,-V,6.2L V8 (PR),6.2L V8,,Manual 6-spd,Rear-Wheel Drive,Premium Gasoline,Midsize Cars,8,6.2,14,19,16,,,,,
2010,Cadillac,CTS,-V,6.2L V8 (PR),6.2L V8,,Automatic (S6),Rear-Wheel Drive,Premium Gasoline,Midsize Cars,8,6.2,12,18,14,,,,,
2010,Cadillac,CTS,CTS,3.0L V6,3.0L V6,,Automatic (S6),Rear-Wheel Drive,Regular Gasoline,Midsize Cars,6,3.0,18,27,22,,,,,
2010,Cadillac,CTS,AWD,3.0L V6,3.0L V6,,Automatic (S6),All-Wheel Drive,Regular Gasoline,Midsize Cars,6,3.0,18,26,21,,,,,
2010,Cadillac,CTS,Wagon,3.0L V6,3.0L V6,,Automatic (S6),Rear-Wheel Drive,Regular Gasoline,Small Station Wagons,6,3.0,18,27,22,,,,,
2010,Cadillac,CTS,Wagon AWD,3.0L V6,3.0L V6,,Automatic (S6),All-Wheel Drive,Regular Gasoline,Small Station Wagons,6,3.0,18,26,21,,,,,
2010,Cadillac,CTS,CTS,3.0L V6 (SIDI),3.0L V6,,Manual 6-spd,Rear-Wheel Drive,Regular Gasoline,Midsize Cars,6,3.0,16,26,19,,,,,
