Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1987,Chevrolet,Blazer,S10 Blazer 2WD,2.5L I4 ((FFS)),2.5L I4 Turbo,Turbocharged,Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,4,2.5,17,21,19,,,,,
1987,Chevrolet,Blazer,S10 Blazer 2WD,2.5L I4 ((FFS)),2.5L I4 Turbo,Turbocharged,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,4,2.5,17,22,19,,,,,
1987,Chevrolet,Blazer,S10 Blazer 2WD,2.5L I4 ((FFS)),2.5L I4 Turbo,Turbocharged,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,4,2.5,18,23,20,,,,,
1987,Chevrolet,Blazer,S10 Blazer 2WD,2.5L I4 ((FFS)),2.5L I4 Turbo,Turbocharged,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,4,2.5,19,24,21,,,,,
1987,Chevrolet,Blazer,S10 Blazer 2WD,2.8L V6 ((FFS)),2.8L V6,,Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,6,2.8,15,17,16,,,,,
1987,Chevrolet,Blazer,S10 Blazer 2WD,2.8L V6 ((FFS)),2.8L V6,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,6,2.8,15,21,17,,,,,
1987,Chevrolet,Blazer,S10 Blazer 2WD,2.8L V6 ((FFS)),2.8L V6,,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,6,2.8,15,20,17,,,,,
1987,Chevrolet,Blazer,S10 Blazer 2WD,2.8L V6 ((FFS)),2.8L V6,,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,6,2.8,15,22,18,,,,,
1987,Chevrolet,Blazer,T10 (S10) Blazer 4WD,2.5L I4 ((FFS)),2.5L I4 Turbo,Turbocharged,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,2.5,17,21,18,,,,,
1987,Chevrolet,Blazer,T10 (S10) Blazer 4WD,2.5L I4 ((FFS)),2.5L I4 Turbo,Turbocharged,Manual 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,2.5,19,23,21,,,,,
1987,Chevrolet,Blazer,T10 (S10) Blazer 4WD,2.5L I4 ((FFS)),2.5L I4 Turbo,Turbocharged,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,2.5,18,24,20,,,,,
1987,Chevrolet,Blazer,T10 (S10) Blazer 4WD,2.8L V6 ((FFS)),2.8L V6,,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,6,2.8,14,19,16,,,,,
1987,Chevrolet,Blazer,T10 (S10) Blazer 4WD,2.8L V6 ((FFS)),2.8L V6,,Manual 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,6,2.8,15,19,16,,,,,
1987,Chevrolet,Blazer,T10 (S10) Blazer 4WD,2.8L V6 ((FFS)),2.8L V6,,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,6,2.8,15,20,17,,,,,
1987,Chevrolet,Blazer,V10 (K10) Blazer 4WD,5.0L V8 ((305) (FFS)),5.0L V8,,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,8,5.0,12,16,13,,,,,
1987,Chevrolet,Blazer,V10 (K10) Blazer 4WD,5.0L V8 ((FFS)),5.0L V8,,Manual 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,8,5.0,12,15,13,,,,,
1987,Chevrolet,Blazer,V10 (K10) Blazer 4WD,5.7L V8 ((350 V8) (FFS)),5.7L V8,,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,8,5.7,11,15,13,,,,,
1987,Chevrolet,Blazer,V10 (K10) Blazer 4WD,5.7L V8 ((350 V8) (FFS)),5.7L V8,,Manual 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,8,5.7,11,14,12,,,,,
1987,Chevrolet,Blazer,V10 (K10) Blazer 4WD,Diesel 6.2L V8 ((NO-CAT)) Diesel,6.2L V8,,Automatic 4-spd,All-Wheel Drive,Diesel,Special Purpose Vehicles,8,6.2,15,19,16,,,,,
