Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1985,Dodge,Aries,Aries,2.2L I4 ((FFS) CA model),2.2L I4,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.2,18,23,20,,,,,
1985,Dodge,Aries,Aries,2.2L I4 ((FFS) CA model),2.2L I4,,Manual 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.2,22,28,24,,,,,
1985,Dodge,Aries,Aries,2.2L I4 ((FFS) CA model),2.2L I4,,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.2,21,31,25,,,,,
1985,Dodge,Aries,Aries,2.2L I4 ((FFS) CA model),2.2L I4,,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.2,22,31,25,,,,,
1985,Dodge,Aries,Aries,2.2L I4 ((FFS) CA model),2.2L I4,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.2,19,24,21,,,,,
1985,Dodge,Aries,Aries,2.6L I4 ((FFS) CA model),2.6L I4,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.6,18,21,19,,,,,
1985,Dodge,Aries,Wagon,2.2L I4 ((FFS) CA model),2.2L I4,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.2,18,22,20,,,,,
1985,Dodge,Aries,Wagon,2.2L I4 ((FFS) CA model),2.2L I4,,Manual 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.2,22,28,24,,,,,
1985,Dodge,Aries,Wagon,2.2L I4 ((FFS) CA model),2.2L I4,,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.2,21,31,25,,,,,
1985,Dodge,Aries,Wagon,2.2L I4 ((FFS) CA model),2.2L I4,,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.2,22,31,25,,,,,
1985,Dodge,Aries,Wagon,2.2L I4 ((FFS) CA model),2.2L I4,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.2,19,23,21,,,,,
1985,Dodge,Aries,Wagon,2.6L I4 ((FFS) CA model),2.6L I4,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.6,18,21,19,,,,,
1985,Dodge,Aries,Aries,2.2L I4 ((FFS)),2.2L I4,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.2,21,26,23,,,,,
1985,Dodge,Aries,Aries,2.2L I4 ((FFS)),2.2L I4,,Manual 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.2,23,30,25,,,,,
1985,Dodge,Aries,Aries,2.2L I4 ((FFS)),2.2L I4,,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.2,22,30,25,,,,,
1985,Dodge,Aries,Aries,2.2L I4 ((FFS)),2.2L I4,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.2,21,24,22,,,,,
1985,Dodge,Aries,Aries,2.6L I4 ((FFS)),2.6L I4,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.6,18,22,20,,,,,
1985,Dodge,Aries,Wagon,2.2L I4 ((FFS)),2.2L I4,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.2,19,24,21,,,,,
1985,Dodge,Aries,Wagon,2.2L I4 ((FFS)),2.2L I4,,Manual 4-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.2,23,30,25,,,,,
1985,Dodge,Aries,Wagon,2.2L I4 ((FFS)),2.2L I4,,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.2,22,30,25,,,,,
1985,Dodge,Aries,Wagon,2.2L I4 ((FFS)),2.2L I4,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.2,20,24,21,,,,,
1985,Dodge,Aries,Wagon,2.6L I4 ((FFS)),2.6L I4,,Automatic 3-spd,Front-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.6,18,21,19,,,,,
