Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1991,Dodge,D100/D150 Pickup,2WD,3.9L V6 ((FFS)),3.9L V6,,Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,3.9,14,16,14,,,,,
1991,Dodge,D100/D150 Pickup,2WD,3.9L V6 ((FFS)),3.9L V6,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,3.9,15,20,16,,,,,
1991,Dodge,D100/D150 Pickup,2WD,3.9L V6 ((FFS)),3.9L V6,,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,3.9,13,16,14,,,,,
1991,Dodge,D100/D150 Pickup,2WD,3.9L V6 ((FFS)),3.9L V6,,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,6,3.9,12,17,14,,,,,
1991,Dodge,D100/D150 Pickup,2WD,5.2L V8 ((FFS)),5.2L V8,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.2,11,15,13,,,,,
1991,Dodge,D100/D150 Pickup,2WD,5.2L V8 ((FFS)),5.2L V8,,Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.2,12,14,13,,,,,
1991,Dodge,D100/D150 Pickup,2WD,5.2L V8 ((FFS)),5.2L V8,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.2,12,17,14,,,,,
1991,Dodge,D100/D150 Pickup,2WD,5.2L V8 ((FFS)),5.2L V8,,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.2,11,14,12,,,,,
1991,Dodge,D100/D150 Pickup,2WD,5.9L V8 ((FFS)),5.9L V8,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.9,10,12,11,,,,,
1991,Dodge,D100/D150 Pickup,2WD,5.9L V8 ((FFS)),5.9L V8,,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks,8,5.9,9,13,11,,,,,
