Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1985,GMC,Rally,G15/25 Rally 2WD,4.3L V6,4.3L V6,,Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Vans,6,4.3,14,16,15,,,,,
1985,GMC,Rally,G15/25 Rally 2WD,4.3L V6,4.3L V6,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Vans,6,4.3,15,17,16,,,,,
1985,GMC,Rally,G15/25 Rally 2WD,4.3L V6,4.3L V6,,Manual 3-spd,Rear-Wheel Drive,Regular Gasoline,Vans,6,4.3,14,17,15,,,,,
1985,GMC,Rally,G15/25 Rally 2WD,5.0L V8 ((GM-CHEV)),5.0L V8,,Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Vans,8,5.0,11,12,12,,,,,
1985,GMC,Rally,G15/25 Rally 2WD,5.0L V8 ((GM-CHEV)),5.0L V8,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Vans,8,5.0,12,16,14,,,,,
1985,GMC,Rally,G15/25 Rally 2WD,5.7L V8 ((350 V8)),5.7L V8,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Vans,8,5.7,11,16,13,,,,,
1985,GMC,Rally,G15/25 Rally 2WD,Diesel 6.2L V8 Diesel,6.2L V8,,Automatic 4-spd,Rear-Wheel Drive,Diesel,Vans,8,6.2,15,22,18,,,,,
1985,GMC,Rally,G15/25 Rally 2WD,Diesel 6.2L V8 Diesel,6.2L V8,,Manual 4-spd,Rear-Wheel Drive,Diesel,Vans,8,6.2,16,19,17,,,,,
1985,GMC,Rally,G35 Rally 2WD,5.7L V8 ((350 V8)),5.7L V8,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Vans,8,5.7,10,12,11,,,,,
1985,GMC,Rally,G15/25 Rally 2WD,4.3L V6 ((FFS) CA model),4.3L V6,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Vans,6,4.3,14,16,15,,,,,
1985,GMC,Rally,G15/25 Rally 2WD,4.3L V6 ((FFS) CA model),4.3L V6,,Manual 3-spd,Rear-Wheel Drive,Regular Gasoline,Vans,6,4.3,13,16,14,,,,,
1985,GMC,Rally,G15/25 Rally 2WD,5.7L V8 ((350 V8) (FFS) CA model),5.7L V8,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Vans,8,5.7,11,15,12,,,,,
1985,GMC,Rally,G15/25 Rally 2WD,Diesel 6.2L V8 (CA model) Diesel,6.2L V8,,Automatic 4-spd,Rear-Wheel Drive,Diesel,Vans,8,6.2,15,22,18,,,,,
1985,GMC,Rally,G35 Rally 2WD,5.7L V8 ((350 V8) (FFS) CA model),5.7L V8,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Vans,8,5.7,10,13,11,,,,,
