Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2024,GMC,Sierra,2WD,FFV 5.3L V8 (SIDI; FFV),5.3L V8,,Automatic 10-spd,Rear-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 2WD,8,5.3,16,20,18,,,,,
2024,GMC,Sierra,2WD,5.3L V8 (SIDI; Municipal),5.3L V8,,Automatic 10-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,5.3,15,19,16,,,,,
2024,GMC,Sierra,2WD,5.3L V8 (SIDI; with Sport Mode),5.3L V8,,Automatic 10-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,5.3,16,20,18,,,,,
2024,GMC,Sierra,2WD,5.3L V8 (SIDI; Stop-Start),5.3L V8,,Automatic 10-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,8,5.3,16,21,18,,,,,
2024,GMC,Sierra,2WD,Diesel 3.0L V6 Diesel,3.0L V6 Turbo,Turbocharged,Automatic 10-spd,Rear-Wheel Drive,Diesel,Standard Pickup Trucks 2WD,6,3.0,23,29,25,,,,,
2024,GMC,Sierra,4WD,FFV 5.3L V8 (SIDI; FFV),5.3L V8,,Automatic 10-spd,Four-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 4WD,8,5.3,15,19,17,,,,,
2024,GMC,Sierra,Mud Terrain Tires 4WD,FFV 5.3L V8 (SIDI; FFV),5.3L V8,,Automatic 10-spd,Four-Wheel Drive,Regular Gasoline / E85,Standard Pickup Trucks 4WD,8,5.3,15,19,17,,,,,
2024,GMC,Sierra,4WD,6.2L V8 (SIDI),6.2L V8,,Automatic 10-spd,Four-Wheel Drive,Premium Gasoline,Standard Pickup Trucks 4WD,8,6.2,15,19,16,,,,,
2024,GMC,Sierra,Mud Terrain Tires 4WD,6.2L V8 (SIDI),6.2L V8,,Automatic 10-spd,Four-Wheel Drive,Premium Gasoline,Standard Pickup Trucks 4WD,8,6.2,14,17,15,,,,,
2024,GMC,Sierra,4WD AT4X,6.2L V8 (SIDI),6.2L V8,,Automatic 10-spd,Four-Wheel Drive,Premium Gasoline,Standard Pickup Trucks 4WD,8,6.2,14,16,15,,,,,
2024,GMC,Sierra,4WD,5.3L V8 (SIDI; Municipal),5.3L V8,,Automatic 10-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.3,15,19,16,,,,,
2024,GMC,Sierra,Mud Terrain Tires 4WD,5.3L V8 (SIDI; Municipal),5.3L V8,,Automatic 10-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.3,15,19,16,,,,,
2024,GMC,Sierra,4WD,5.3L V8 (SIDI; wth Sport Mode),5.3L V8,,Automatic 10-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.3,15,19,17,,,,,
2024,GMC,Sierra,Mud Terrain Tires 4WD,5.3L V8 (SIDI; with Sport Mode),5.3L V8,,Automatic 10-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.3,15,18,16,,,,,
2024,GMC,Sierra,4WD,5.3L V8 (SIDI),5.3L V8,,Automatic 10-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.3,15,20,17,,,,,
2024,GMC,Sierra,Mud Terrain Tires 4WD,5.3L V8 (SIDI),5.3L V8,,Automatic 10-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,8,5.3,15,18,16,,,,,
2024,GMC,Sierra,4WD AT4X,Diesel 3.0L V6 Diesel,3.0L V6 Turbo,Turbocharged,Automatic 10-spd,Four-Wheel Drive,Diesel,Standard Pickup Trucks 4WD,6,3.0,19,20,19,,,,,
2024,GMC,Sierra,4WD,Diesel 3.0L V6 Diesel,3.0L V6 Turbo,Turbocharged,Automatic 10-spd,Four-Wheel Drive,Diesel,Standard Pickup Trucks 4WD,6,3.0,23,27,24,,,,,
2024,GMC,Sierra,Mud Terrain Tires 4WD,Diesel 3.0L V6 Diesel,3.0L V6 Turbo,Turbocharged,Automatic 10-spd,Four-Wheel Drive,Diesel,Standard Pickup Trucks 4WD,6,3.0,21,23,22,,,,,
2024,GMC,Sierra,Cab Chassis 2WD,5.3L V8 (SIDI),5.3L V8,,Automatic 10-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 2WD,8,5.3,14,17,15,,,,,
2024,GMC,Sierra,Cab Chassis 4WD,5.3L V8 (SIDI),5.3L V8,,Automatic 10-spd,Four-Wheel Drive,Regular Gasoline,Special Purpose Vehicle 4WD,8,5.3,14,17,15,,,,,
2024,GMC,Sierra,2WD,2.7L I4 (SIDI),2.7L I4 Turbo,Turbocharged,Automatic 8-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,4,2.7,18,22,20,,,,,
2024,GMC,Sierra,2WD,2.7L I4 (SIDI; with Sport Mode),2.7L I4 Turbo,Turbocharged,Automatic 8-spd,Rear-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 2WD,4,2.7,17,21,19,,,,,
2024,GMC,Sierra,4WD,2.7L I4 (SIDI; with Sport Mode),2.7L I4 Turbo,Turbocharged,Automatic 8-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,4,2.7,17,18,17,,,,,
2024,GMC,Sierra,4WD,2.7L I4 (SIDI),2.7L I4 Turbo,Turbocharged,Automatic 8-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,4,2.7,17,20,18,,,,,
2024,GMC,Sierra,Mud Terrain Tires 4WD,2.7L I4 (SIDI),2.7L I4 Turbo,Turbocharged,Automatic 8-spd,Four-Wheel Drive,Regular Gasoline,Standard Pickup Trucks 4WD,4,2.7,16,17,16,,,,,
