Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2024,Jeep,Wrangler,4dr 4WD,2.0L I4 (SIDI),2.0L I4 Turbo,Turbocharged,Automatic 8-spd,Four-Wheel Drive,Regular Gasoline,Small Sport Utility Vehicle 4WD,4,2.0,20,22,21,,,,,
2024,Jeep,Wrangler,4dr 4WD,6.4L V8,6.4L V8,,Automatic 8-spd,Four-Wheel Drive,Premium Gasoline,Small Sport Utility Vehicle 4WD,8,6.4,13,16,14,,,,,
2024,Jeep,Wrangler,2dr 4WD,2.0L I4 (SIDI),2.0L I4 Turbo,Turbocharged,Automatic 8-spd,Four-Wheel Drive,Regular Gasoline,Small Sport Utility Vehicle 4WD,4,2.0,20,23,21,,,,,
2024,Jeep,Wrangler,4dr 4WD,3.6L V6,3.6L V6,,Manual 6-spd,Four-Wheel Drive,Regular Gasoline,Small Sport Utility Vehicle 4WD,6,3.6,16,22,19,,,,,
2024,Jeep,Wrangler,2dr 4WD,3.6L V6,3.6L V6,,Manual 6-spd,Four-Wheel Drive,Regular Gasoline,Small Sport Utility Vehicle 4WD,6,3.6,17,23,19,,,,,
2024,Jeep,Wrangler,Rubicon 4dr 4WD,3.6L V6,3.6L V6,,Automatic 8-spd,Four-Wheel Drive,Regular Gasoline,Small Sport Utility Vehicle 4WD,6,3.6,16,19,17,,,,,
2024,Jeep,Wrangler,Rubicon 2dr 4WD,3.6L V6,3.6L V6,,Automatic 8-spd,Four-Wheel Drive,Regular Gasoline,Small Sport Utility Vehicle 4WD,6,3.6,16,20,18,,,,,
2024,Jeep,Wrangler,4dr 4xe,Plug-in Hybrid 2.0L I4 (SIDI; PHEV),2.0L I4,,Automatic 8-spd,Four-Wheel Drive,Regular Gasoline / Electricity,Small Sport Utility Vehicle 4WD,4,2.0,20,20,20,,,,,
2024,Jeep,Wrangler,4dr 4WD,3.6L V6,3.6L V6,,Automatic 8-spd,Four-Wheel Drive,Regular Gasoline,Small Sport Utility Vehicle 4WD,6,3.6,18,23,20,,,,,
2024,Jeep,Wrangler,2dr 4WD,3.6L V6,3.6L V6,,Automatic 8-spd,Four-Wheel Drive,Regular Gasoline,Small Sport Utility Vehicle 4WD,6,3.6,18,24,20,,,,,
