Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2018,Land Rover,Range Rover,Velar,3.0L V6 (SIDI),3.0L V6 Turbo,Turbocharged,Automatic (S8),All-Wheel Drive,Premium Gasoline,Small Sport Utility Vehicle 4WD,6,3.0,18,24,20,,,,,
2018,Land Rover,Range Rover,Velar,2.0L I4 (SIDI),2.0L I4 Turbo,Turbocharged,Automatic (S8),All-Wheel Drive,Premium Gasoline,Small Sport Utility Vehicle 4WD,4,2.0,21,27,23,,,,,
2018,Land Rover,Range Rover,Velar,Diesel 2.0L I4 Diesel,2.0L I4 Turbo,Turbocharged,Automatic (S8),All-Wheel Drive,Diesel,Small Sport Utility Vehicle 4WD,4,2.0,26,30,28,,,,,
2018,Land Rover,Range Rover,Evoque Convertible,2.0L I4 (SIDI),2.0L I4 Turbo,Turbocharged,Automatic (S9),All-Wheel Drive,Premium Gasoline,Small Sport Utility Vehicle 4WD,4,2.0,21,29,24,,,,,
2018,Land Rover,Range Rover,Evoque (286 Hp),2.0L I4 (SIDI),2.0L I4 Turbo,Turbocharged,Automatic (S9),All-Wheel Drive,Premium Gasoline,Small Sport Utility Vehicle 4WD,4,2.0,21,29,24,,,,,
2018,Land Rover,Range Rover,Range Rover,3.0L V6 (SIDI),3.0L V6 Turbo,Turbocharged,Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,6,3.0,17,23,19,,,,,
2018,Land Rover,Range Rover,Sport,3.0L V6 (SIDI),3.0L V6 Turbo,Turbocharged,Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,6,3.0,17,23,19,,,,,
2018,Land Rover,Range Rover,Evoque,2.0L I4 (SIDI),2.0L I4 Turbo,Turbocharged,Automatic (S9),All-Wheel Drive,Premium Gasoline,Small Sport Utility Vehicle 4WD,4,2.0,22,29,25,,,,,
2018,Land Rover,Range Rover,Range Rover,5.0L V8 (SIDI),5.0L V8 Supercharged,Supercharged,Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,8,5.0,16,21,18,,,,,
2018,Land Rover,Range Rover,LWB,5.0L V8 (SIDI),5.0L V8 Supercharged,Supercharged,Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,8,5.0,16,21,18,,,,,
2018,Land Rover,Range Rover,SVA,5.0L V8 (SIDI),5.0L V8 Supercharged,Supercharged,Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,8,5.0,14,19,16,,,,,
2018,Land Rover,Range Rover,LWB SVA,5.0L V8 (SIDI),5.0L V8 Supercharged,Supercharged,Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,8,5.0,13,19,15,,,,,
2018,Land Rover,Range Rover,Sport,5.0L V8 (SIDI),5.0L V8 Supercharged,Supercharged,Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,8,5.0,17,22,19,,,,,
2018,Land Rover,Range Rover,Sport SVR,5.0L V8 (SIDI),5.0L V8 Supercharged,Supercharged,Automatic (S8),Four-Wheel Drive,Premium Gasoline,Standard Sport Utility Vehicle 4WD,8,5.0,15,20,16,,,,,
2018,Land Rover,Range Rover,Range Rover,Diesel 3.0L V6 Diesel,3.0L V6 Turbo,Turbocharged,Automatic (S8),Four-Wheel Drive,Diesel,Standard Sport Utility Vehicle 4WD,6,3.0,22,28,24,,,,,
2018,Land Rover,Range Rover,Sport,Diesel 3.0L V6 Diesel,3.0L V6 Turbo,Turbocharged,Automatic (S8),Four-Wheel Drive,Diesel,Standard Sport Utility Vehicle 4WD,6,3.0,22,28,24,,,,,
