Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2018,Porsche,Panamera,Turbo,4.0L V8 (SIDI),4.0L V8 Twin Turbo,Twin Turbocharged,Automatic (AM-S8),All-Wheel Drive,Premium Gasoline,Large Cars,8,4.0,18,25,21,,,,,
2018,Porsche,Panamera,Turbo Executive,4.0L V8 (SIDI),4.0L V8 Twin Turbo,Twin Turbocharged,Automatic (AM-S8),All-Wheel Drive,Premium Gasoline,Large Cars,8,4.0,18,25,21,,,,,
2018,Porsche,Panamera,Panamera,3.0L V6 (SIDI),3.0L V6 Turbo,Turbocharged,Automatic (AM-S8),Rear-Wheel Drive,Premium Gasoline,Large Cars,6,3.0,21,28,24,,,,,
2018,Porsche,Panamera,4,3.0L V6 (SIDI),3.0L V6 Turbo,Turbocharged,Automatic (AM-S8),Four-Wheel Drive,Premium Gasoline,Large Cars,6,3.0,21,27,23,,,,,
2018,Porsche,Panamera,4 Executive,3.0L V6 (SIDI),3.0L V6 Turbo,Turbocharged,Automatic (AM-S8),Four-Wheel Drive,Premium Gasoline,Large Cars,6,3.0,21,27,23,,,,,
2018,Porsche,Panamera,4S,2.9L V6 (SIDI),2.9L V6 Turbo,Turbocharged,Automatic (AM-S8),Four-Wheel Drive,Premium Gasoline,Large Cars,6,2.9,21,28,23,,,,,
2018,Porsche,Panamera,4S Executive,2.9L V6 (SIDI),2.9L V6 Turbo,Turbocharged,Automatic (AM-S8),Four-Wheel Drive,Premium Gasoline,Large Cars,6,2.9,21,28,23,,,,,
2018,Porsche,Panamera,4 ST,3.0L V6 (SIDI),3.0L V6 Turbo,Turbocharged,Automatic (AM-S8),Four-Wheel Drive,Premium Gasoline,Large Cars,6,3.0,20,26,23,,,,,
2018,Porsche,Panamera,Turbo ST,4.0L V8 (SIDI),4.0L V8 Twin Turbo,Twin Turbocharged,Automatic (AM-S8),All-Wheel Drive,Premium Gasoline,Large Cars,8,4.0,18,23,20,,,,,
2018,Porsche,Panamera,4S ST,2.9L V6 (SIDI),2.9L V6 Turbo,Turbocharged,Automatic (AM-S8),Four-Wheel Drive,Premium Gasoline,Large Cars,6,2.9,20,26,22,,,,,
2018,Porsche,Panamera,4 e-Hybrid ST,Plug-in Hybrid 2.9L V6 (SIDI; PHEV),2.9L V6,,Automatic (AM-S8),All-Wheel Drive,Premium Gasoline / Electricity,Large Cars,6,2.9,20,25,22,,,,,
2018,Porsche,Panamera,Turbo S e-Hybrid,Plug-in Hybrid 4.0L V8 (SIDI; PHEV),4.0L V8,,Automatic (AM-S8),All-Wheel Drive,Premium Gasoline / Electricity,Large Cars,8,4.0,19,23,21,,,,,
2018,Porsche,Panamera,Turbo S e-Hybrid Executive,Plug-in Hybrid 4.0L V8 (SIDI; PHEV),4.0L V8,,Automatic (AM-S8),All-Wheel Drive,Premium Gasoline / Electricity,Large Cars,8,4.0,19,23,21,,,,,
2018,Porsche,Panamera,Turbo S e-Hybrid ST,Plug-in Hybrid 4.0L V8 (SIDI; PHEV),4.0L V8,,Automatic (AM-S8),All-Wheel Drive,Premium Gasoline / Electricity,Large Cars,8,4.0,19,23,21,,,,,
2018,Porsche,Panamera,4 e-Hybrid,Plug-in Hybrid 2.9L V6 (SIDI; PHEV),2.9L V6,,Automatic (AM-S8),All-Wheel Drive,Premium Gasoline / Electricity,Large Cars,6,2.9,20,25,22,,,,,
2018,Porsche,Panamera,4 e-Hybrid Executive,Plug-in Hybrid 2.9L V6 (SIDI; PHEV),2.9L V6,,Automatic (AM-S8),All-Wheel Drive,Premium Gasoline / Electricity,Large Cars,6,2.9,20,25,22,,,,,
