Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Porsche,Taycan,4 Cross Turismo,EV Electricity,EV Electricity,,Automatic (A2),All-Wheel Drive,Electricity,Midsize Cars,,,80,80,80,,,,,
2023,Porsche,Taycan,4S Cross Turismo,EV Electricity,EV Electricity,,Automatic (A2),All-Wheel Drive,Electricity,Midsize Cars,,,78,78,78,,,,,
2023,Porsche,Taycan,4S Perf Battery Plus,EV Electricity,EV Electricity,,Automatic (A2),All-Wheel Drive,Electricity,Compact Cars,,,79,81,80,,,,,
2023,Porsche,Taycan,4S Performance Battery,EV Electricity,EV Electricity,,Automatic (A2),All-Wheel Drive,Electricity,Compact Cars,,,82,82,82,,,,,
2023,Porsche,Taycan,GTS,EV Electricity,EV Electricity,,Automatic (A2),All-Wheel Drive,Electricity,Compact Cars,,,83,82,83,,,,,
2023,Porsche,Taycan,GTS Sport Turismo,EV Electricity,EV Electricity,,Automatic (A2),All-Wheel Drive,Electricity,Compact Cars,,,80,80,80,,,,,
2023,Porsche,Taycan,Perf Battery Plus,EV Electricity,EV Electricity,,Automatic (A2),Rear-Wheel Drive,Electricity,Compact Cars,,,78,88,82,,,,,
2023,Porsche,Taycan,Performance Battery,EV Electricity,EV Electricity,,Automatic (A2),Rear-Wheel Drive,Electricity,Compact Cars,,,79,88,83,,,,,
2023,Porsche,Taycan,Turbo,EV Electricity,EV Electricity,,Automatic (A2),All-Wheel Drive,Electricity,Compact Cars,,,81,80,81,,,,,
2023,Porsche,Taycan,Turbo Cross Turismo,EV Electricity,EV Electricity,,Automatic (A2),All-Wheel Drive,Electricity,Midsize Cars,,,80,78,79,,,,,
2023,Porsche,Taycan,Turbo S,EV Electricity,EV Electricity,,Automatic (A2),All-Wheel Drive,Electricity,Compact Cars,,,76,74,75,,,,,
2023,Porsche,Taycan,Turbo S Cross Turismo,EV Electricity,EV Electricity,,Automatic (A2),All-Wheel Drive,Electricity,Midsize Cars,,,76,74,75,,,,,
