Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1993,Suzuki,Sidekick,Hardtop 2WD,1.6L I4 ((FFS) (MPFI)),1.6L I4,,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,1.6,21,24,22,,,,,
1993,Suzuki,Sidekick,Hardtop 2WD,1.6L I4 ((FFS) (MPFI)),1.6L I4,,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,1.6,20,24,21,,,,,
1993,Suzuki,Sidekick,2WD,1.6L I4 ((FFS)),1.6L I4,,Automatic 3-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,1.6,20,22,21,,,,,
1993,Suzuki,Sidekick,2WD,1.6L I4 ((FFS)),1.6L I4,,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,1.6,22,24,23,,,,,
1993,Suzuki,Sidekick,Hardtop 4WD,1.6L I4 ((FFS)),1.6L I4,,Automatic 3-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,1.6,20,22,21,,,,,
1993,Suzuki,Sidekick,Hardtop 4WD,1.6L I4 ((FFS) (MPFI)),1.6L I4,,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,1.6,19,24,21,,,,,
1993,Suzuki,Sidekick,Hardtop 4WD,1.6L I4 ((FFS) (MPFI)),1.6L I4,,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,1.6,19,24,21,,,,,
1993,Suzuki,Sidekick,Hardtop 4WD,1.6L I4 ((FFS) (MPFI)),1.6L I4,,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,1.6,20,24,21,,,,,
1993,Suzuki,Sidekick,Hardtop 4WD,1.6L I4 ((FFS)),1.6L I4,,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,1.6,22,24,23,,,,,
1993,Suzuki,Sidekick,Hardtop 4WD,1.6L I4 ((FFS) (MPFI)),1.6L I4,,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,1.6,21,24,22,,,,,
1993,Suzuki,Sidekick,Soft-top 4WD,1.6L I4 ((FFS)),1.6L I4,,Automatic 3-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,1.6,20,22,21,,,,,
1993,Suzuki,Sidekick,Soft-top 4WD,1.6L I4 ((FFS)),1.6L I4,,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Special Purpose Vehicles,4,1.6,22,24,23,,,,,
