Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
1986,Volvo,740/760,740/760,"2.3L I4 ((FFS,TRBO))",2.3L I4 Turbo,Turbocharged,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.3,17,20,18,,,,,
1986,Volvo,740/760,740/760,2.3L I4 ((FFS)),2.3L I4 Turbo,Turbocharged,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.3,19,23,21,,,,,
1986,Volvo,740/760,740/760,"2.3L I4 ((FFS,TRBO))",2.3L I4 Turbo,Turbocharged,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.3,18,23,20,,,,,
1986,Volvo,740/760,740/760,2.3L I4 ((FFS)),2.3L I4 Turbo,Turbocharged,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.3,20,26,22,,,,,
1986,Volvo,740/760,740/760,"Diesel 2.4L V6 ((DSL,TRBO) (NO-CAT)) Diesel",2.4L V6 Turbo,Turbocharged,Automatic 4-spd,Rear-Wheel Drive,Diesel,Midsize Cars,6,2.4,21,24,23,,,,,
1986,Volvo,740/760,740/760,"Diesel 2.4L V6 ((DSL,TRBO) (NO-CAT)) Diesel",2.4L V6 Turbo,Turbocharged,Manual 4-spd,Rear-Wheel Drive,Diesel,Midsize Cars,6,2.4,22,27,24,,,,,
1986,Volvo,740/760,740/760,2.8L V6 ((FFS)),2.8L V6 Turbo,Turbocharged,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize Cars,6,2.8,16,20,18,,,,,
1986,Volvo,740/760,Wagon,"2.3L I4 ((FFS,TRBO))",2.3L I4 Turbo,Turbocharged,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.3,17,20,18,,,,,
1986,Volvo,740/760,Wagon,2.3L I4 ((FFS)),2.3L I4 Turbo,Turbocharged,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.3,19,24,21,,,,,
1986,Volvo,740/760,Wagon,2.3L I4 ((FFS)),2.3L I4 Turbo,Turbocharged,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.3,20,26,22,,,,,
1986,Volvo,740/760,Wagon,"2.3L I4 ((FFS,TRBO))",2.3L I4 Turbo,Turbocharged,Manual 4-spd,Rear-Wheel Drive,Regular Gasoline,Midsize-Large Station Wagons,4,2.3,18,23,20,,,,,
1986,Volvo,740/760,Wagon,"Diesel 2.4L V6 ((DSL,TRBO) (NO-CAT)) Diesel",2.4L V6 Turbo,Turbocharged,Automatic 4-spd,Rear-Wheel Drive,Diesel,Midsize-Large Station Wagons,6,2.4,21,24,23,,,,,
