Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2018,Cadillac,SRX,"Wheelbase 116.4 in (2,957 mm)","Layout Front-engine, rear-wheel drive, all-wheel drive (2004–2009)",,,Transmission,"Layout Front-engine, rear-wheel drive, all-wheel drive (2004–2009)",,,,,,,,The Insurance Institute for Highway Safety found the 2005-08 SRX worst in its class for driver fatalities with a death rate of 63 compared to its class average of 23.,The AWD option was implemented with a transfer case mounted to the rear of the t,"The AWD option was implemented with a transfer case mounted to the rear of the transmission, with a propeller shaft forward to a front differential to power the front wheels.","More to the point of the original question, if a 2016 SRX (as an example) has the towing p","More to the point of the original question, if a 2016 SRX (as an example) has the towing package, the towing capacity is 3500#. | [Backfilled from 2020]"
2018,Cadillac,SRX,Platform GM Theta Premium/GMT166,"Layout Front-engine, rear-wheel drive / Front-engine, all-wheel drive",,,speed 5L50 automatic,"Layout Front-engine, rear-wheel drive / Front-engine, all-wheel drive",,,,,,,,The 2015 SRX added 4G LTE connection and a standard Wi-Fi hotspot. Exterior colors Cocoa Bronze Metallic and Majestic Plum Metallic were added.,Heated front seats and wood interior trim were standard in the V8 and available,Heated front seats and wood interior trim were standard in the V8 and available as options in the V6.,,[Backfilled from 2020]
2018,Cadillac,SRX,"Wheelbase 110.5 in (2,807 mm)",Engine 3.6 L LY7 HFV6 V6,,,speed 6L50 automatic,"Layout Front-engine, front-wheel drive / all-wheel drive",,,,,,,,"For the 2016 model year, Cadillac removed the Majestic Plum Metallic color.","DVD, sunroof, navigation system, and a power foldable third-row seat were all av","DVD, sunroof, navigation system, and a power foldable third-row seat were all available options.",,[Backfilled from 2020]
2018,Cadillac,SRX,,Engine,,,"Model years Engine Power, Torque@rpm Transmission",Cadillac SRX SUV AWD NHTSA,,,,,,,,,"The AWD option was implemented with a power take-off output of the transaxle, an","The AWD option was implemented with a power take-off output of the transaxle, and a propeller shaft to a rear differential to power the rear wheels.",,[Backfilled from 2020]
2018,Cadillac,SRX,,L LFX V6 (gasoline/E85),,,"–2016 3.6L V6 308 bhp (312 PS; 230 kW), 260 lb⋅ft (353 N⋅m) Hydra-Matic 6T70 6-speed automatic with Driver Shift Control",,,,,,,,,,"Additional interior features included standard HD radio, Bluetooth audio streami","Additional interior features included standard HD radio, Bluetooth audio streaming, additional USB ports, SD card slot and 12-volt outlet, revised headphone and remote design for rear seat entertainment, and revised shift knob, steering wheel, and instrument cluster.",,[Backfilled from 2020]
2018,Cadillac,SRX,,Cadillac SRX 3.0 V6 AWD Sport Luxury (Germany),,,,,,,,,,,,,"Three new colors: Evolution Green Metallic, Glacier Blue Metallic and Silver Coa","Three new colors: Evolution Green Metallic, Glacier Blue Metallic and Silver Coast Metallic were added, and wheels options were revised. 2014 changes For the 2014 model year, 18-inch chrome wheels were added to the Luxury trim and the Driver Awareness package received Intellibeam headlights.",,[Backfilled from 2020]
2018,Cadillac,SRX,,"The production SRX debuted in January 2009 with the choice of a 3.0 liter V6 with direct injection derived from the 3.6 liter unit in the Cadillac CTS, or a 2.8 liter turbocharged V6.",,,,,,,,,,,,,"Exterior colors Graphite Metallic, Terra Mocha Metallic, and Sapphire Blue Metal","Exterior colors Graphite Metallic, Terra Mocha Metallic, and Sapphire Blue Metallic were added, and caramel and ebony interior accents became options. 2015 changes The 2015 SRX added 4G LTE connection and a standard Wi-Fi hotspot.",,[Backfilled from 2020]
2018,Cadillac,SRX,,Engines and transmissions,,,,,,,,,,,,,3.0L V6 was the only engine option available for the 2011 model year.,3.0L V6 was the only engine option available for the 2011 model year.,,[Backfilled from 2020]
2018,Cadillac,SRX,,"Model years Engine Power, Torque@rpm Transmission",,,,,,,,,,,,,"Free GM RPO Decoder — type any GM RPO code (like G80, Z71, Z55) to instantly see","Free GM RPO Decoder — type any GM RPO code (like G80, Z71, Z55) to instantly see factory options for Chevy, GMC, Cadillac, and Hummer.",,[Backfilled from 2020]
2018,Cadillac,SRX,,,,,,,,,,,,,,,"Here you will find information on Cadillac trim levels, packages, equipment grou","Here you will find information on Cadillac trim levels, packages, equipment groups and options.",,[Backfilled from 2020]
2018,Cadillac,SRX,,,,,,,,,,,,,,,RPO Codes VIN Decoder - Find out what options your GM Chevy Buick Cadillac vehic,"RPO Codes VIN Decoder - Find out what options your GM Chevy Buick Cadillac vehicle is equipped with - GM Chevrolet Buick Cadillac - Regular Production Option The Cadillac SRX is a mid-size luxury SUV and compact luxury crossover SUV manufactured and marketed by Cadillac over two generations: the first generation as a five-door, three-row, seven-passenger CUV (2003-2009), and the second generation as a five-door, two-row, five-passenger CUV (2010-2016) - the latter became Cadillac's best selling",,[Backfilled from 2020]
2018,Cadillac,SRX,,,,,,,,,,,,,,,"More to the point of the original question, if a 2016 SRX (as an example) has th","More to the point of the original question, if a 2016 SRX (as an example) has the towing package, the towing capacity is 3500#.",,[Backfilled from 2020]
2018,Cadillac,SRX,,,,,,,,,,,,,,,"It features a spacious interior with tiered seating, an optional power-folding t","It features a spacious interior with tiered seating, an optional power-folding third-row seat, and the largest sunroof in its class, enhancing the driving experience.",,[Backfilled from 2020]
2018,Cadillac,SRX,,,,,,,,,,,,,,,"With two engine options, advanced driving technologies, and a ...","With two engine options, advanced driving technologies, and a ...",,[Backfilled from 2020]
2018,Cadillac,SRX,,,,,,,,,,,,,,,This is an online automotive information provider of Cadillac SRX specifications,"This is an online automotive information provider of Cadillac SRX specifications and features, equipment and performance including fuel economy, transmission, warranty, engine type, cylinders, drive train and more.",,[Backfilled from 2020]
2018,Cadillac,SRX,,,,,,,,,,,,,,,"Make sure to search the car specs including engine performance options, interior","Make sure to search the car specs including engine performance options, interior upgrades, headroom, cargo capacity and more.",,[Backfilled from 2020]
