Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2008,Chevrolet,Colorado,2WD,2.9L I4,2.9L I4 Turbo,Turbocharged,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks 2WD,4,2.9,18,24,20,,,,,
2008,Chevrolet,Colorado,2WD,2.9L I4,2.9L I4 Turbo,Turbocharged,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks 2WD,4,2.9,18,24,20,,,,,
2008,Chevrolet,Colorado,2WD,3.7L V5,3.7L V5,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks 2WD,5,3.7,16,22,18,,,,,
2008,Chevrolet,Colorado,Crew Cab 2WD,2.9L I4,2.9L I4 Turbo,Turbocharged,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks 2WD,4,2.9,18,24,20,,,,,
2008,Chevrolet,Colorado,Crew Cab 2WD,2.9L I4,2.9L I4 Turbo,Turbocharged,Manual 5-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks 2WD,4,2.9,18,24,20,,,,,
2008,Chevrolet,Colorado,Crew Cab 2WD,3.7L V5,3.7L V5,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks 2WD,5,3.7,16,22,18,,,,,
2008,Chevrolet,Colorado,4WD,2.9L I4,2.9L I4 Turbo,Turbocharged,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks 4WD,4,2.9,17,22,19,,,,,
2008,Chevrolet,Colorado,4WD,2.9L I4,2.9L I4 Turbo,Turbocharged,Manual 5-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks 4WD,4,2.9,16,22,18,,,,,
2008,Chevrolet,Colorado,4WD,3.7L V5,3.7L V5,,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks 4WD,5,3.7,15,21,17,,,,,
2008,Chevrolet,Colorado,Cab Chassis inc 2WD,3.7L V5,3.7L V5,,Automatic 4-spd,Rear-Wheel Drive,Regular Gasoline,Small Pickup Trucks 2WD,5,3.7,14,18,15,,,,,
2008,Chevrolet,Colorado,Cab Chassis inc 4WD,3.7L V5,3.7L V5,,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks 4WD,5,3.7,15,20,17,,,,,
2008,Chevrolet,Colorado,Crew Cab 4WD,3.7L V5,3.7L V5,,Automatic 4-spd,All-Wheel Drive,Regular Gasoline,Small Pickup Trucks 4WD,5,3.7,15,20,17,,,,,
