Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,FIAT,500X,"Wheelbase 2,570 mm (101.2 in)","Layout Front-engine, front-wheel-drive or all-wheel-drive",,,Transmission,Hybrid drivetrain Mild Hybrid,,,,,,,,Predecessor Fiat Sedici,"Both are manufactured at FCA's SATA Plant in Melfi, Italy. Specifications[ed","Both are manufactured at FCA's SATA Plant in Melfi, Italy. Specifications The 500X is based on the Small Wide 4×4 architecture, a platform evolved from the GM Fiat Small platform used for the Fiat Grande Punto and Fiat 500L. The Fiat 500X is available with several engines with optional all-wheel drive with most.",,
,,,"The 500X is based on the Small Wide 4×4 architecture, a platform evolved from the GM Fiat Small platform used for the Fiat Grande Punto and Fiat 500L.",Engine,,,speed FPT C510 manual,"The Fiat 500X is available with several engines with optional all-wheel drive with most. At launch, engines available outside of North America included: one gasoline, the turbocharged 1.4 MultiAir2, and two MultiJet turbodiesels displacing 1.6 and 2.0 litres.",,,,,,,,"In 2022, Fiat added the 1.5 L Firefly mild hybrid, with a 48 Volt belt alternator starter electric motor to assist the engine. This is paired with a 0.8kWh battery.","A naturally aspirated 2.4-litre four-cylinder engine, with a nine-speed automati","A naturally aspirated 2.4-litre four-cylinder engine, with a nine-speed automatic with standard front-wheel drive and optional with all-wheel drive.",,
,,,Fiat 500X Sport,L FireFly turbo I3,,,speed FPT C635 manual,"A 1.4-litre turbocharged four-cylinder engine, with a six-speed manual transmission available only with front-wheel drive.",,,,,,,,"from redesign launch I3 turbocharged gasoline, DOHC 12 valve 999 cc 120 PS (88 kW; 118 hp) at 5,750 190 N⋅m (140 lb⋅ft) at 1,750 s 200 km/h (120 mph)",,,,
,,,Trim levels,L FireFly turbo I4,,,speed FPT C635 DDCT dual-clutch,"A naturally aspirated 2.4-litre four-cylinder engine, with a nine-speed automatic with standard front-wheel drive and optional with all-wheel drive.",,,,,,,,"from redesign launch I4 turbocharged gasoline, DOHC 16 valve 1332 cc 150 PS (110 kW; 148 hp) at 5,500 270 N⋅m (199 lbf⋅ft) at 1,850 139 g/km s",,,,
,,,"(2018, based on Euro NCAP 2008)",L T-Jet MultiAir turbo I4,,,speed Chrysler/ZF AT9X automatic,,,,,,,,,"from redesign launch I4 turbocharged diesel, DOHC 16 valve 1598 cc 120 PS (88 kW; 118 hp) at 3,750 320 N⋅m (236 lbf⋅ft) at 1,750 109 g/km 10.5 s 186 km/h (116 mph)",,,,
,,,,L Multijet II turbo I4,,,"A naturally aspirated 2.4-litre four-cylinder engine, with a nine-speed automatic with standard front-wheel drive and optional with all-wheel drive.",,,,,,,,,,,,,
,,,,L Fiat JTD engine#1.6 JTDm turbo I4,,,Engine Year of introduction Type Displacement Power at rpm Torque at rpm CO2 emissions 0–100 km/h (0–62 mph) Top speed,,,,,,,,,,,,,
,,,,L Fiat JTD engine#2.0 JTDm turbo I4,,,"from restyling T4 turbocharged gasoline/electric (mini Full-Hybrid) 1469 cc 95,6 Kw + e-motor in the 7-speed automatic transmission DCT 240Nm 122g/Km 9.4",,,,,,,,,,,,,
,,,,Hybrid:,,,Engine Power Transmission Year Regions,,,,,,,,,,,,,
,,,,L T4 mild hybrid I4,,,Fiat 1.0 L I3 T3 88 kW (118 hp; 120 PS) 6 speed FPT C635 manual 2019–2023 Europe,,,,,,,,,,,,,
,,,,Hybrid drivetrain Mild Hybrid,,,Fiat 1.3 L I4 T4 110 kW (148 hp; 150 PS) 6 speed FPT C635 DDCT dual-clutch 2019–2024 Europe,,,,,,,,,,,,,
,,,,Battery 0.8 kWh battery (Mild hybrid),,,Fiat 1.3 L I4 T4 132 kW (177 hp; 179 PS) 9 speed Chrysler 948TE automatic 2019–2024 North America,,,,,,,,,,,,,
,,,,"The Fiat 500X is available with several engines with optional all-wheel drive with most. At launch, engines available outside of North America included: one gasoline, the turbocharged 1.4 MultiAir2, and two MultiJet turbodiesels displacing 1.6 and 2.0 litres.",,,Fiat 1.4 L I4 FIRE MultiAir2 Turbo 103 kW (138 hp; 140 PS) 6 speed Fiat C635 manual 2014–2024 Europe,,,,,,,,,,,,,
,,,,"A 1.4-litre turbocharged four-cylinder engine, with a six-speed manual transmission available only with front-wheel drive.",,,Fiat 1.4 L I4 FIRE MultiAir Turbo 119 kW (160 hp; 162 PS) 6 speed Fiat C635 manual 2015–2024 North America,,,,,,,,,,,,,
