Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2019,Honda,Civic,2Dr,1.5L I4 (SIDI),1.5L I4 Turbo,Turbocharged,Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,4,1.5,28,38,32,,,,,
2019,Honda,Civic,2Dr,1.5L I4 (SIDI),1.5L I4 Turbo,Turbocharged,Automatic (AV-S7),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,1.5,30,37,33,,,,,
2019,Honda,Civic,2Dr,1.5L I4 (SIDI),1.5L I4 Turbo,Turbocharged,Automatic (variable gear ratios),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,1.5,31,40,35,,,,,
2019,Honda,Civic,2Dr,2.0L I4,2.0L I4,,Manual 6-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,25,35,29,,,,,
2019,Honda,Civic,2Dr,2.0L I4,2.0L I4,,Automatic (AV-S7),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,29,36,32,,,,,
2019,Honda,Civic,2Dr,2.0L I4,2.0L I4,,Automatic (variable gear ratios),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,30,38,33,,,,,
2019,Honda,Civic,4Dr,1.5L I4 (SIDI),1.5L I4 Turbo,Turbocharged,Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Midsize Cars,4,1.5,28,38,32,,,,,
2019,Honda,Civic,4Dr,1.5L I4 (SIDI),1.5L I4 Turbo,Turbocharged,Automatic (AV-S7),Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,1.5,30,38,33,,,,,
2019,Honda,Civic,4Dr,1.5L I4 (SIDI),1.5L I4 Turbo,Turbocharged,Automatic (variable gear ratios),Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,1.5,32,42,36,,,,,
2019,Honda,Civic,4Dr,2.0L I4,2.0L I4,,Manual 6-spd,Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.0,25,36,29,,,,,
2019,Honda,Civic,4Dr,2.0L I4,2.0L I4,,Automatic (AV-S7),Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.0,29,37,32,,,,,
2019,Honda,Civic,4Dr,2.0L I4,2.0L I4,,Automatic (variable gear ratios),Front-Wheel Drive,Regular Gasoline,Midsize Cars,4,2.0,30,38,33,,,,,
2019,Honda,Civic,5Dr,1.5L I4 (SIDI),1.5L I4 Turbo,Turbocharged,Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Large Cars,4,1.5,29,38,33,,,,,
2019,Honda,Civic,5Dr,1.5L I4 (SIDI),1.5L I4 Turbo,Turbocharged,Automatic (variable gear ratios),Front-Wheel Drive,Regular Gasoline,Large Cars,4,1.5,31,40,34,,,,,
2019,Honda,Civic,5Dr,1.5L I4 (SIDI),1.5L I4 Turbo,Turbocharged,Automatic (AV-S7),Front-Wheel Drive,Premium Gasoline,Large Cars,4,1.5,30,36,32,,,,,
2019,Honda,Civic,5Dr,2.0L I4 (SIDI),2.0L I4,,Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Large Cars,4,2.0,22,28,25,,,,,
