Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2024,Infiniti,QX55,"Wheelbase 110.2–113.4 in (2,799–2,880 mm)","Front-engine, rear-wheel-drive (until 2017)",,,Transmission 7-speed automatic (Manual Shift-ability),"Front engine, rear-wheel drive",,,,,,,,The brand entered the European market with a new 3.0-liter V6 diesel (V9X). The engine was the first Diesel in the Infiniti brand's 20-year history. The engine produces 235 hp (175 kW; 238 PS) at 3750 RPM and 550 N⋅m (410 lb⋅ft) of torque at 1750 RPM.,"Models sold in Canada, Europe include ATTESA E-TS AWD as standard.","Models sold in Canada, Europe include ATTESA E-TS AWD as standard.","The 2024 INFINITI QX55 is available in three appealing grades, each of which features the","The 2024 INFINITI QX55 is available in three appealing grades, each of which features the reassurance of standard INFINITI Intelligent All-Wheel Drive."
,,,"Wheelbase 2,800 mm (110.2 in)","Front-engine, front-wheel-drive (2017–2025)",,,Transmissions,"Front-engine, all-wheel drive",,,,,,,,"Changes include overall length increased by 80 millimeters (3.1 inches), a redesigned grille and front bumper assembly that incorporate LED daylight running lights, optional automatically opened and closed tailgate hatch, optional full panoramic glass roof.",Dad (爸爸去哪儿) television series. 2015 update QX50 (2015) 2015,"Dad (爸爸去哪儿) television series. 2015 update QX50 (2015) 2015 facelift Changes include overall length increased by 80 millimeters (3.1 inches), a redesigned grille and front bumper assembly that incorporate LED daylight running lights, optional automatically opened and closed tailgate hatch, optional full panoramic glass roof.",Additional standard equipment on all grades includes leather-appointed seats with 8-way po,"Additional standard equipment on all grades includes leather-appointed seats with 8-way power adjustable front seats, dual-zone automatic climate control, ProPILOT Assist and Remote Engine Start."
,,,,Power output 235–320 hp (175–239 kW; 238–324 PS),,,Transmission Xtronic CVT,AWD (326PS),,,,,,,,,"2024 INFINITI QX55 Specs, Features & Options Here's everything you need to know","2024 INFINITI QX55 Specs, Features & Options Here's everything you need to know about each trim in the 2024 INFINITI QX55 lineup.",,
,,,,The brand entered the European market with a new 3.0-liter V6 diesel (V9X). The engine was the first Diesel in the Infiniti brand's 20-year history. The engine produces 235 hp (175 kW; 238 PS) at 3750 RPM and 550 N⋅m (410 lb⋅ft) of torque at 1750 RPM.,,,,d AWD 2013-2017 electronically controlled 7-speed automatic transmission with manual mode,,,,,,,,,"Pricing and Which One to Buy The price of the 2024 Infiniti QX55 starts at $51,5","Pricing and Which One to Buy The price of the 2024 Infiniti QX55 starts at $51,500 and goes up to $60,000 depending on the trim and options.",,
,,,,Engines,,,,"US models went on sale as a 2016 model year vehicle. Early models included 3.7, 3.7 AWD.",,,,,,,,,Standard equipment includes the features that come with this vehicle.,Standard equipment includes the features that come with this vehicle.,,
,,,,"EX25 2010–2012 2.5 L V6 24-valve (VQ25HR) 218 hp (163 kW) @6,800rpm 185 lb⋅ft (251 N⋅m) @4,800rpm",,,,"Layout Front engine, front-wheel drive / all-wheel drive",,,,,,,,,Select Your Options Choose options to include in this vehicle value.,Select Your Options Choose options to include in this vehicle value.,,
,,,,,,,,,,,,,,,,,"The 2024 INFINITI QX55 is available in three appealing grades, each of which fea","The 2024 INFINITI QX55 is available in three appealing grades, each of which features the reassurance of standard INFINITI Intelligent All-Wheel Drive.",,
,,,,,,,,,,,,,,,,,Additional standard equipment on all grades includes leather-appointed seats wit,"Additional standard equipment on all grades includes leather-appointed seats with 8-way power adjustable front seats, dual-zone automatic climate control, ProPILOT Assist and Remote Engine Start.",,
,,,,,,,,,,,,,,,,,"Compare features, options & pricing across all trims.","Compare features, options & pricing across all trims.",,
,,,,,,,,,,,,,,,,,Latest technology in the 2024 Infiniti QX55: Compare all specifications and conf,"Latest technology in the 2024 Infiniti QX55: Compare all specifications and configurations of the 2024 Infiniti QX55, special features and options, and check out specs and trims on CarBuzz 2024 Infiniti QX55 Configurations Select up to 3 trims below to compare some key specs and options for the 2024 Infiniti QX55.",,
