Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Land Rover,Range Rover,Related Range Rover Sport (L461),"Layout Front-engine, four-wheel-drive",,,Transmission 8-speed ZF 8HP automatic,Body style 5-door 4x4,,,,,,,,Predecessor,A seven-seater option was available slightly after launch.,A seven-seater option was available slightly after launch.,,
,,,Wheelbase,Engine,,,,Hybrid drivetrain,,,,,,,,,The air suspension also adds variable ride height. The Range Rover also featu,"The air suspension also adds variable ride height. The Range Rover also features Range Rover's ""iAWD"" (Intelligent All-Wheel Drive) system, which is controlled by Land Rover's Intelligent Driveline Dynamics (IDD) system.",,
,,,Compact SUV Freelander Freelander 2 Discovery Sport,L BMW S68 twin-turbo V8,,,,,,,,,,,,,"Different leather choices are available for interior, however a leather-free opt","Different leather choices are available for interior, however a leather-free option, which adds wool or other vegan materials are available.",,
,,,Range Rover Classic Range Rover Sport Range Rover Sport Range Rover Sport,Petrol plug-in hybrid:,,,,,,,,,,,,,The four-seater arrangement includes a centre console dividing the two rear seat,"The four-seater arrangement includes a centre console dividing the two rear seats along with an electrically operated tray table and a mini-fridge. The L460 also features 23-inch wheels, upgrading from the 22-inch of the previous iteration.",,
,,,,L AJ300 turbo PHEV I6,,,,,,,,,,,,,,,,
,,,,Diesel:,,,,,,,,,,,,,,,,
,,,,L AJ300D twin-turbo I6,,,,,,,,,,,,,,,,
,,,,L AJ300D twin-turbo MHEV I6,,,,,,,,,,,,,,,,
,,,,Electric motor,,,,,,,,,,,,,,,,
,,,,kW (143 PS; 141 hp) permanent magnet synchronous (P440e/510e PHEV),,,,,,,,,,,,,,,,
,,,,Hybrid drivetrain,,,,,,,,,,,,,,,,
,,,,Mild hybrid,,,,,,,,,,,,,,,,
,,,,Plug-in hybrid (P440e/P460e,,,,,,,,,,,,,,,,
