Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,Nissan,Leaf,"Wheelbase 2,700 mm (106.3 in)","Electric motor 110 or 160 kW EM57, synchronous",,,Transmission Single-speed fixed (8.193:1 ratio),,,,,,,,,Predecessor,"However, they commended the Leaf for its spacious boot, along with features like","However, they commended the Leaf for its spacious boot, along with features like standard heated seats and, in higher-end models, a heated steering wheel and leather seats.",Updates for the 2022 model year include the addition of the SV PLUS Technology Package as; Bose audio,"Updates for the 2022 model year include the addition of the SV PLUS Technology Package as standard equipment - including ProPILOT Assist 3, 8-way power driver's seat, LED headlights, LED signature Daytime Running Lights, portable charge cable (120V/240V EVSE), electric parking brake, Intelligent Around ... | [Brochure] Bose audio"
,,,Trim lines,Battery 40 or 62 kWh lithium-ion,,,,,,,,,,,,"From 2019, a Leaf e+ (Leaf Plus in North America) variant was offered with a larger 62 kWh battery (59 kWh usable) providing an EPA range of 364 km (226 miles), and a new 160 kW motor. It can use CHAdeMO chargers up to 100 kW.",It is intended to serve as a reliable mobile power source for a small command ce,"It is intended to serve as a reliable mobile power source for a small command center, offering weatherproof external power outlets for site lighting, tools or emergency medical equipment.","WIDTH 790 MM A - BOOT SPACE WITH REAR SEAT D - OVERALL HEIGHT 1,540 MM C - OVERALL WIDTH 1; Bose audio","WIDTH 790 MM A - BOOT SPACE WITH REAR SEAT D - OVERALL HEIGHT 1,540 MM C - OVERALL WIDTH 1,788 MM B - WHEELBASE 2,700 MM NISSAN A - OVERALL LENGTH The 2022 edition of the Leaf has some notable changes compared to 2021. | [Brochure] Bose audio"
,,,"Initially, the Japanese-spec Leaf are offered in 3 trim: S, X, and G.",kWh:,,,,,,,,,,,,"In June 2022, the Leaf received a facelift for the 2023 model year. In the US, the EPA range was slightly reduced to 240 km (149 miles) for the 40 kWh version and 341 km (212 miles) for the 62 kWh version.",The N-Connecta adds from Acenta an intelligent around view monitor with moving o,"The N-Connecta adds from Acenta an intelligent around view monitor with moving object detection and front and rear parking sensors, part synthetic leather and cloth trim, heat pack with heated seats and heated steering wheel, 43 centimetre (17 inch) alloy wheels, and privacy glass.",Bose audio,[Brochure] Bose audio
,,,"European Leafs are offered in the following trim lines: Visia, Acenta, N-Connecta, and Tekna.",AC onboard charger: 6.6 kW at 27.5 A,,,,,,,,,,,,"Initially, the Japanese-spec Leaf are offered in 3 trim: S, X, and G.","Tekna adds from N-Connecta ProPILOT Advanced Driver Assistance System, Bose spea","Tekna adds from N-Connecta ProPILOT Advanced Driver Assistance System, Bose speakers, part leather seats with Ultrasuede trim, LED fog lamps with cornering function, and electronic parking brake.",Bose audio,[Brochure] Bose audio
,,,"Tekna adds from N-Connecta ProPILOT Advanced Driver Assistance System, Bose speakers, part leather seats with Ultrasuede trim, LED fog lamps with cornering function, and electronic parking brake.",DC: 50 or 100 kW,,,,,,,,,,,,"In January 2019, the enlarged battery e+ (e-Plus) was added. It was equipped with a 62 kWh battery. It was offered in 2 grades: e+ X, and e+ G.","The cumulative number includes over 208,000 LEAFs (first- and second-generation)","The cumulative number includes over 208,000 LEAFs (first- and second-generation), as well as about 42,000 Nissan e-NV200 medium-size vans.",Bose audio,[Brochure] Bose audio
,,,"The Mexican model arrived on 24 August 2018 as a 2019 model, and was offered in S, SL, and SL Bitono trim lines.","From 2019, a Leaf e+ (Leaf Plus in North America) variant was offered with a larger 62 kWh battery (59 kWh usable) providing an EPA range of 364 km (226 miles), and a new 160 kW motor. It can use CHAdeMO chargers up to 100 kW.",,,,,,,,,,,,"European Leafs are offered in the following trim lines: Visia, Acenta, N-Connecta, and Tekna.","Includes 20,661 used imports from neighboring countries as of 29 January 2022.","Includes 20,661 used imports from neighboring countries as of 29 January 2022.",Bose audio,[Brochure] Bose audio
,,,,kWh NMC AESC,,,,,,,,,,,,,"Pricing and Which One to Buy The price of the 2022 Nissan Leaf starts at $28,495","Pricing and Which One to Buy The price of the 2022 Nissan Leaf starts at $28,495 and goes up to $38,495 depending on the trim and options.",,
,,,,Electric range,,,,,,,,,,,,,Updates for the 2022 model year include the addition of the SV PLUS Technology P,"Updates for the 2022 model year include the addition of the SV PLUS Technology Package as standard equipment - including ProPILOT Assist 3, 8-way power driver's seat, LED headlights, LED signature Daytime Running Lights, portable charge cable (120V/240V EVSE), electric parking brake, Intelligent Around ...",,
,,,,DC: 150 kW NACS & J1772 (North America),,,,,,,,,,,,,Nissan has also made an array of previously optional features standard.,Nissan has also made an array of previously optional features standard.,,
,,,,,,,,,,,,,,,,,"Firstly, a package called Charge that has a new portable charging cable is now s","Firstly, a package called Charge that has a new portable charging cable is now standard on all trims.",,
,,,,,,,,,,,,,,,,,Latest technology in the 2022 Nissan Leaf: Compare all specifications and config,"Latest technology in the 2022 Nissan Leaf: Compare all specifications and configurations of the 2022 Nissan Leaf, special features and options, and check out specs and trims on CarBuzz",,
