Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2023,Ram,2500,Wheelbase Regular cab/6.5' bed:,"Layout Front-engine, rear-wheel drive / four-wheel drive",,,Transmission 3- or 4-speed Torqueflite automatic,"Layout Front-engine, rear-wheel drive / four-wheel drive",,,,,,,,Predecessor Dodge D series,"The truck models were offered in standard cab, ""Club"" extended cab, and crew cab","The truck models were offered in standard cab, ""Club"" extended cab, and crew cab configurations.",SELECT FEATURES 6.4L HEMI® V8 Engine/8HP75 8-speed Automatic Transmission Alternator — 180,"SELECT FEATURES 6.4L HEMI® V8 Engine/8HP75 8-speed Automatic Transmission Alternator — 180-amp Antilock Four-Wheel Disc Brakes Automatic Headlamps Battery — 730-amp, maintenance-free Class V Hitch Receiver Driver's- and Passenger-Side Assist Handles Locking Tailgate Power Recirculating Ball Steering Rear Axle — 11.5-inch Tilt Steering Column Tinted Glass, All Windows Trailer-Tow ..."
,,,"Wheelbase 118.7–154.7 in (3,010–3,930 mm)",Engine 225 cu in (3.7 L) slant-6 I6,,,or 5-speed manual,"The front axle continued to use an independent coil-sprung double-wishbone suspension on 2WD pickups, but the leaf springs on 4WD models were replaced with coil springs. Ram 3500 chassis-cab models now used a solid, coil-sprung front axle and the same frame on 2WD and 4WD models.",,,,,,,,"Unencumbered by CAFE (Corporate Average Fuel Economy) restrictions, DaimlerChrysler's Mexican subsidiary developed a three-door SUV version of the Ram, called the Ramcharger as was its predecessor. It debuted in 1998, but was never available in the United States.",They also were offered along with 6.5 ft (2.0 m) and 8 ft (2.4 m) bed lengths an,"They also were offered along with 6.5 ft (2.0 m) and 8 ft (2.4 m) bed lengths and ""Utiline"" and ""Sweptline"" styled boxes along with standard boxes.","Dual fluid filters, a dual-face torque converter lockup clutch for the 2nd through 6th gea","Dual fluid filters, a dual-face torque converter lockup clutch for the 2nd through 6th gears and an integrated Tow ..."
,,,Three new special edition trim levels debut for 2017 for the Ram 1500 model:,,,,,,,,,,,,,,A 6-speed manual transmission was made optional for diesel models in late 2000 f,A 6-speed manual transmission was made optional for diesel models in late 2000 for the 2001 model year.,,
,,,,,,,,,,,,,,,,,The NP241 was standard on V8 3500s.,The NP241 was standard on V8 3500s.,,
,,,,,,,,,,,,,,,,,"In 1997, the NP241DHD became an option for 2500s and was standard on 3500s from","In 1997, the NP241DHD became an option for 2500s and was standard on 3500s from 1998 to 2002.",,
,,,,,,,,,,,,,,,,,It included longitudinal stripes similar to those on the Dodge Viper along with,"It included longitudinal stripes similar to those on the Dodge Viper along with an optional door sticker stating ""Official Truck of the 80th Indianapolis 500"".",,
,,,,,,,,,,,,,,,,,"All include a specialty sticker on the inner door stating, ""Built with pride in","All include a specialty sticker on the inner door stating, ""Built with pride in the U.S.A."" A real Indy 500 Official Truck will have the code AGJ, which is the INDY 500 SPECIAL EDITION GROUP. High Output – The Ram trucks started offering a diesel High Output package for 2001 models.",,
,,,,,,,,,,,,,,,,,2001/2002 high-output engines were rated 10 horsepower higher than the standard,2001/2002 high-output engines were rated 10 horsepower higher than the standard engine.,,
,,,,,,,,,,,,,,,,,"Off-Road Edition – The Dodge Ram 1500 SLT Off-Road ""Edition"" (package) was a","Off-Road Edition – The Dodge Ram 1500 SLT Off-Road ""Edition"" (package) was available in the latter portion of the second generation.",,
,,,,,,,,,,,,,,,,,"It included 17-inch alloy wheels (standard were 16-inch), added 4×4 transfer cas","It included 17-inch alloy wheels (standard were 16-inch), added 4×4 transfer case skid plate, 4.10:1 rear axle ratio, limited-slip rear differential, heated dual-power side mirrors, fog lamps, and frame-mounted front tow hooks.",,
