Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2019,Toyota,Venza,"Wheelbase 109.3 in (2,775 mm)","Front-engine, all-wheel-drive",,,Chassis code Model Engine Transmission Power Torque,"AGV15 (4WD) 2.7 L I4 2,672 cc 1AR-FE DOHC 16-valve EFI straight-four with Dual VVT-i 6-speed automatic 181–182 hp (135–136 kW; 184–185 PS) at 5,800 rpm 182 lb⋅ft (247 N⋅m) at 4,200 rpm",,,,,,,,The first-generation Venza was based on the XV40 series Camry platform and marketed between 2008 and 2017 — and shared the platform with the AL10 series Lexus RX. The second-generation model is a rebadged Japanese-market XU80 series Harrier and has been sold since September 2020.,"The Touring Package, which included HID headlights, push button start, Navigatio","The Touring Package, which included HID headlights, push button start, Navigation, and the JBL Sound Package, was only available for the 3.5-liter all-wheel drive configuration.",,[Backfilled from 2020]
2019,Toyota,Venza,"Wheelbase 105.9 in (2,690 mm)",Engine,,,"AGV15 (4WD) 2.7 L I4 2,672 cc 1AR-FE DOHC 16-valve EFI straight-four with Dual VVT-i 6-speed automatic 181–182 hp (135–136 kW; 184–185 PS) at 5,800 rpm 182 lb⋅ft (247 N⋅m) at 4,200 rpm",GGV10 (FWD),,,,,,,,"For 2010, the Venza received a standard USB audio input and Bluetooth hands-free phone capability. Due to this addition, a single-CD player unit replaced the previously standard in-dash 6-disc CD changer.","The Premium Package, which contained the moonroof and backup camera, was availab","The Premium Package, which contained the moonroof and backup camera, was available for all but the 2.7-liter front-wheel drive configuration.",,[Backfilled from 2020]
2019,Toyota,Venza,", for the 2022 model year: The Limited grade was updated, with fog lights for poor weather conditions.",L 2GR-FE V6 (GGV10/15),,,Transmission,"GGV15 (4WD) 3.5 L V6 3,456 cc 2GR-FE DOHC 24-valve EFI V6 with Dual VVT-i 268 hp (200 kW; 272 PS) at 6,200 rpm 246–248 lb⋅ft (334–336 N⋅m) at 4,700 rpm",,,,,,,,"In Canada, the Venza was featured as a prize in the 2009 Tim Hortons ""Rrroll up the rim to win"" promotion.",The leather package was available for all models.,The leather package was available for all models.,,[Backfilled from 2020]
2019,Toyota,Venza,,Chassis code Model Engine Transmission Power Torque,,,,,,,,,,,,,"The LE and XLE trims were available with all powertrain combinations: 2.7-liter,","The LE and XLE trims were available with all powertrain combinations: 2.7-liter, 3.5-liter, front-wheel drive or all-wheel drive; the Venza Limited comes with the 3.5-liter engine only, in front-wheel drive or all-wheel drive configurations. Canadian models retained the single trim level, adding only a Convenience Package for the 2.7-liter all-wheel drive trim.",,[Backfilled from 2020]
2019,Toyota,Venza,,"AGV15 (4WD) 2.7 L I4 2,672 cc 1AR-FE DOHC 16-valve EFI straight-four with Dual VVT-i 6-speed automatic 181–182 hp (135–136 kW; 184–185 PS) at 5,800 rpm 182 lb⋅ft (247 N⋅m) at 4,200 rpm",,,,,,,,,,,,,LATCH (Lower Anchors and Tethers for Children) for rear outboard seats and seven,"LATCH (Lower Anchors and Tethers for Children) for rear outboard seats and seven standard airbags, including dual-stage front airbags, driver's knee airbag, front seat-mounted side airbags, 2-row side curtain airbags and fuel pump cut-off switch with airbag deployment.",,[Backfilled from 2020]
2019,Toyota,Venza,,"GGV15 (4WD) 3.5 L V6 3,456 cc 2GR-FE DOHC 24-valve EFI V6 with Dual VVT-i 268 hp (200 kW; 272 PS) at 6,200 rpm 246–248 lb⋅ft (334–336 N⋅m) at 4,700 rpm",,,,,,,,,,,,,"""2021 Toyota Venza reborn with standard hybrid power and all-wheel drive"".","""2021 Toyota Venza reborn with standard hybrid power and all-wheel drive"".",,[Backfilled from 2020]
2019,Toyota,Venza,,"Designer Nobuhiko Honda, Pansoo Kwon, Hideo Koyama and Daisuke Iguchi",,,,,,,,,,,,,It contains brief descriptions of fundamental operations so you can locate and u,It contains brief descriptions of fundamental operations so you can locate and use the vehicle's main equipment quickly and easily.,,[Backfilled from 2020]
2019,Toyota,Venza,,Gasoline hybrid:,,,,,,,,,,,,,"2.5 (219 Hp) Hybrid E-Four e-CVT Technical Specifications and Full Car Data, Eng","2.5 (219 Hp) Hybrid E-Four e-CVT Technical Specifications and Full Car Data, Engine Information and Performance statistics Jun 24, 2024Yeah, a whole 7 lines of optional equipment that was present in the 2020 PDF!",,[Backfilled from 2020]
2019,Toyota,Venza,,Electric motor,,,,,,,,,,,,,,,,[Backfilled from 2020]
2019,Toyota,Venza,,"hp (88 kW; 120 PS) 3NM synchronous (front, hybrid)",,,,,,,,,,,,,,,,[Backfilled from 2020]
2019,Toyota,Venza,,"hp (40 kW; 55 PS) 4NM synchronous (rear, hybrid)",,,,,,,,,,,,,,,,[Backfilled from 2020]
