Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2022,Toyota,Corolla,Corolla,1.8L I4,1.8L I4,,Automatic (variable gear ratios),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,1.8,30,38,33,,,,,
2022,Toyota,Corolla,Corolla,1.8L I4,1.8L I4,,Manual 6-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,1.8,29,39,33,,,,,
2022,Toyota,Corolla,XLE,1.8L I4,1.8L I4,,Automatic (variable gear ratios),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,1.8,29,37,32,,,,,
2022,Toyota,Corolla,Hybrid,Hybrid 1.8L I4 (Hybrid),1.8L I4,,Automatic (variable gear ratios),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,1.8,53,52,52,,,,,
2022,Toyota,Corolla,Corolla,2.0L I4 (SIDI & PFI),2.0L I4,,Automatic (AV-S10),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,31,40,34,,,,,
2022,Toyota,Corolla,Corolla,2.0L I4 (SIDI & PFI),2.0L I4,,Manual 6-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,29,36,32,,,,,
2022,Toyota,Corolla,XSE,2.0L I4 (SIDI & PFI),2.0L I4,,Automatic (AV-S10),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,31,38,34,,,,,
2022,Toyota,Corolla,APEX,2.0L I4 (SIDI & PFI),2.0L I4,,Automatic (AV-S10),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,31,38,34,,,,,
2022,Toyota,Corolla,APEX,2.0L I4 (SIDI & PFI),2.0L I4,,Manual 6-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,28,36,31,,,,,
2022,Toyota,Corolla,Hatchback,2.0L I4 (SIDI & PFI),2.0L I4,,Manual 6-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,28,36,31,,,,,
2022,Toyota,Corolla,Hatchback,2.0L I4 (SIDI & PFI),2.0L I4,,Automatic (AV-S10),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,32,41,35,,,,,
2022,Toyota,Corolla,Hatchback XSE,2.0L I4 (SIDI & PFI),2.0L I4,,Automatic (AV-S10),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,30,38,33,,,,,
