Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
2013,Volkswagen,Jetta,Jetta,2.0L I4 (SIDI),2.0L I4 Turbo,Turbocharged,Automatic (AM-S6),Front-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,24,32,27,,,,,
2013,Volkswagen,Jetta,Jetta,2.0L I4 (SIDI),2.0L I4 Turbo,Turbocharged,Manual 6-spd,Front-Wheel Drive,Premium Gasoline,Compact Cars,4,2.0,22,33,26,,,,,
2013,Volkswagen,Jetta,Jetta,Diesel 2.0L I4 Diesel,2.0L I4 Turbo,Turbocharged,Automatic (AM-S6),Front-Wheel Drive,Diesel,Compact Cars,4,2.0,29,37,32,,,,,
2013,Volkswagen,Jetta,Jetta,Diesel 2.0L I4 Diesel,2.0L I4 Turbo,Turbocharged,Manual 6-spd,Front-Wheel Drive,Diesel,Compact Cars,4,2.0,29,39,32,,,,,
2013,Volkswagen,Jetta,Jetta,2.0L I4,2.0L I4 Turbo,Turbocharged,Automatic (S6),Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,23,29,25,,,,,
2013,Volkswagen,Jetta,Jetta,2.0L I4,2.0L I4 Turbo,Turbocharged,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,4,2.0,24,34,28,,,,,
2013,Volkswagen,Jetta,SportWagen,Diesel 2.0L I4 Diesel,2.0L I4 Turbo,Turbocharged,Automatic (AM-S6),Front-Wheel Drive,Diesel,Small Station Wagons,4,2.0,29,37,32,,,,,
2013,Volkswagen,Jetta,SportWagen,Diesel 2.0L I4 Diesel,2.0L I4 Turbo,Turbocharged,Manual 6-spd,Front-Wheel Drive,Diesel,Small Station Wagons,4,2.0,29,39,32,,,,,
2013,Volkswagen,Jetta,Jetta,2.5L V5,2.5L V5 Turbo,Turbocharged,Automatic (S6),Front-Wheel Drive,Regular Gasoline,Compact Cars,5,2.5,24,31,26,,,,,
2013,Volkswagen,Jetta,Jetta,2.5L V5,2.5L V5 Turbo,Turbocharged,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Compact Cars,5,2.5,23,33,26,,,,,
2013,Volkswagen,Jetta,SportWagen,2.5L V5,2.5L V5 Turbo,Turbocharged,Automatic (S6),Front-Wheel Drive,Regular Gasoline,Small Station Wagons,5,2.5,24,31,26,,,,,
2013,Volkswagen,Jetta,SportWagen,2.5L V5,2.5L V5 Turbo,Turbocharged,Manual 5-spd,Front-Wheel Drive,Regular Gasoline,Small Station Wagons,5,2.5,23,33,26,,,,,
2013,Volkswagen,Jetta,Hybrid,Hybrid 1.4L I4 (SIDI),1.4L I4 Turbo,Turbocharged,Automatic (AM-S7),Front-Wheel Drive,Premium Gasoline,Compact Cars,4,1.4,41,48,44,,,,,
